document_number,company_code,document_date,posting_date,document_type,reference,currency,exchange_rate
DOC00000001,1000,2023-01-09,2023-01-09,SA,BD00000001,USD,1.0
DOC00000002,1000,2023-01-11,2023-01-11,SA,BD00000002,USD,1.0
DOC00000003,1000,2023-01-09,2023-01-09,SA,BD00000003,USD,1.0
DOC00000004,1000,2023-01-09,2023-01-09,SA,BD00000004,USD,1.0
DOC00000005,1000,2023-01-12,2023-01-12,SA,BD00000005,USD,1.0
DOC00000006,1000,2023-01-09,2023-01-09,SA,BD00000006,USD,1.0
DOC00000007,1000,2023-01-16,2023-01-16,SA,BD00000007,USD,1.0
DOC00000008,1000,2023-01-16,2023-01-16,SA,BD00000008,USD,1.0
DOC00000009,1000,2023-01-16,2023-01-16,SA,BD00000009,USD,1.0
DOC00000010,1000,2023-01-16,2023-01-16,SA,BD00000010,USD,1.0
DOC00000011,1000,2023-01-13,2023-01-13,SA,BD00000011,USD,1.0
DOC00000012,1000,2023-01-09,2023-01-09,SA,BD00000012,USD,1.0
DOC00000013,1000,2023-01-16,2023-01-16,SA,BD00000013,USD,1.0
DOC00000014,1000,2023-01-09,2023-01-09,SA,BD00000014,USD,1.0
DOC00000015,1000,2023-01-17,2023-01-17,SA,BD00000015,USD,1.0
DOC00000016,1000,2023-01-16,2023-01-16,SA,BD00000016,USD,1.0
DOC00000017,1000,2023-01-17,2023-01-17,SA,BD00000017,USD,1.0
DOC00000018,1000,2023-01-12,2023-01-12,SA,BD00000018,USD,1.0
DOC00000019,1000,2023-01-09,2023-01-09,SA,BD00000019,USD,1.0
DOC00000020,1000,2023-01-09,2023-01-09,SA,BD00000020,USD,1.0
DOC00000021,1000,2023-01-09,2023-01-09,SA,BD00000021,USD,1.0
DOC00000022,1000,2023-01-09,2023-01-09,SA,BD00000022,USD,1.0
DOC00000023,1000,2023-01-11,2023-01-11,SA,BD00000023,USD,1.0
DOC00000024,1000,2023-01-10,2023-01-10,SA,BD00000024,USD,1.0
DOC00000025,1000,2023-01-16,2023-01-16,SA,BD00000025,USD,1.0
DOC00000026,1000,2023-01-09,2023-01-09,SA,BD00000026,USD,1.0
DOC00000027,1000,2023-01-16,2023-01-16,SA,BD00000027,USD,1.0
DOC00000028,1000,2023-01-13,2023-01-13,SA,BD00000028,USD,1.0
DOC00000029,1000,2023-01-16,2023-01-16,SA,BD00000029,USD,1.0
DOC00000030,1000,2023-01-11,2023-01-11,SA,BD00000030,USD,1.0
DOC00000031,1000,2023-01-16,2023-01-16,SA,BD00000031,USD,1.0
DOC00000032,1000,2023-01-09,2023-01-09,SA,BD00000032,USD,1.0
DOC00000033,1000,2023-01-12,2023-01-12,SA,BD00000033,USD,1.0
DOC00000034,1000,2023-01-09,2023-01-09,SA,BD00000034,USD,1.0
DOC00000035,1000,2023-01-16,2023-01-16,SA,BD00000035,USD,1.0
DOC00000036,1000,2023-01-11,2023-01-11,SA,BD00000036,USD,1.0
