sales_order_id,item_number,customer_id,material_id,order_date,requested_delivery_date,order_quantity,net_value,currency,sales_org,plant
SO00000001,000010,C001013,MAT010030,2023-01-02,2023-01-31,26,2958.92,USD,SO02,P003
SO00000002,000010,C001026,MAT010158,2023-01-02,2023-01-13,45,73426.51,USD,SO03,P003
SO00000003,000010,C001018,MAT010128,2023-01-02,2023-01-31,23,38646.81,USD,SO03,P002
SO00000004,000010,C001015,MAT010015,2023-01-02,2023-01-20,91,7380.97,USD,SO03,P002
SO00000005,000010,C001016,MAT010061,2023-01-02,2023-01-30,75,31746.0,USD,SO03,P002
SO00000006,000010,C001008,MAT010070,2023-01-02,2023-01-26,87,39229.29,USD,SO02,P002
SO00000007,000010,C001018,MAT010054,2023-01-02,2023-01-09,2,3683.92,USD,SO02,P001
SO00000008,000010,C001009,MAT010170,2023-01-02,2023-01-15,7,7634.32,USD,SO02,P001
SO00000009,000010,C001024,MAT010056,2023-01-02,2023-01-13,37,1512.19,USD,SO01,P003
SO00000010,000010,C001035,MAT010088,2023-01-02,2023-01-26,38,50168.34,USD,SO01,P002
SO00000011,000010,C001005,MAT010144,2023-01-02,2023-01-30,58,59048.44,USD,SO03,P003
SO00000012,000010,C001033,MAT010120,2023-01-02,2023-01-26,29,39587.18,USD,SO02,P001
SO00000013,000010,C001007,MAT010131,2023-01-02,2023-01-31,66,110740.34,USD,SO02,P003
SO00000014,000010,C001029,MAT010135,2023-01-02,2023-01-21,86,4200.36,USD,SO02,P002
SO00000015,000010,C001048,MAT010057,2023-01-02,2023-01-26,88,127922.14,USD,SO01,P001
SO00000016,000010,C001045,MAT010098,2023-01-02,2023-01-28,96,70125.16,USD,SO02,P001
SO00000017,000010,C001011,MAT010139,2023-01-02,2023-01-29,82,157525.93,USD,SO02,P003
SO00000018,000010,C001041,MAT010030,2023-01-02,2023-01-15,70,11684.66,USD,SO03,P001
SO00000019,000010,C001028,MAT010184,2023-01-02,2023-01-30,38,37926.26,USD,SO01,P001
SO00000020,000010,C001016,MAT010032,2023-01-02,2023-01-12,23,28910.93,USD,SO02,P001
SO00000021,000010,C001028,MAT010028,2023-01-02,2023-01-17,55,5699.78,USD,SO01,P001
SO00000022,000010,C001043,MAT010115,2023-01-02,2023-01-09,75,140897.23,USD,SO02,P002
SO00000023,000010,C001019,MAT010091,2023-01-02,2023-01-10,91,44003.51,USD,SO01,P002
SO00000024,000010,C001029,MAT010004,2023-01-02,2023-01-29,77,46594.67,USD,SO03,P003
SO00000025,000010,C001048,MAT010072,2023-01-02,2023-01-27,39,2395.96,USD,SO03,P002
SO00000026,000010,C001002,MAT010021,2023-01-02,2023-01-19,10,20577.91,USD,SO03,P001
SO00000027,000010,C001023,MAT010072,2023-01-02,2023-01-25,24,1505.78,USD,SO01,P002
SO00000028,000010,C001033,MAT010079,2023-01-02,2023-01-11,70,15588.34,USD,SO02,P001
SO00000029,000010,C001003,MAT010016,2023-01-02,2023-01-19,28,1421.11,USD,SO02,P002
SO00000030,000010,C001014,MAT010046,2023-01-02,2023-01-28,28,63584.22,USD,SO03,P002
SO00000031,000010,C001005,MAT010119,2023-01-02,2023-01-29,72,104847.51,USD,SO01,P001
SO00000032,000010,C001003,MAT010031,2023-01-02,2023-01-16,86,18259.0,USD,SO03,P003
SO00000033,000010,C001041,MAT010156,2023-01-02,2023-01-10,80,99648.29,USD,SO03,P002
SO00000034,000010,C001003,MAT010096,2023-01-02,2023-01-12,49,77100.08,USD,SO02,P002
SO00000035,000010,C001021,MAT010015,2023-01-02,2023-01-09,70,9004.9,USD,SO03,P002
SO00000036,000010,C001032,MAT010102,2023-01-02,2023-01-23,66,46989.28,USD,SO02,P001
SO00000037,000010,C001039,MAT010181,2023-01-02,2023-01-15,38,79295.97,USD,SO02,P003
SO00000038,000010,C001008,MAT010161,2023-01-02,2023-01-14,11,18737.49,USD,SO03,P003
SO00000039,000010,C001029,MAT010085,2023-01-02,2023-01-15,1,1455.32,USD,SO03,P003
SO00000040,000010,C001022,MAT010146,2023-01-02,2023-01-30,100,123570.59,USD,SO02,P001
SO00000041,000010,C001044,MAT010080,2023-01-02,2023-01-31,27,37495.48,USD,SO03,P002
SO00000042,000010,C001017,MAT010141,2023-01-02,2023-01-11,83,81535.81,USD,SO03,P003
SO00000043,000010,C001047,MAT010134,2023-01-02,2023-01-31,20,5593.85,USD,SO02,P001
SO00000044,000010,C001035,MAT010099,2023-01-02,2023-01-14,12,1460.23,USD,SO02,P003
SO00000045,000010,C001028,MAT010071,2023-01-02,2023-01-16,10,6078.77,USD,SO02,P002
