billing_document,item_number,sales_order_id,customer_id,material_id,billing_date,billing_quantity,net_value,tax_amount,gross_value,currency,cost_of_goods
BD00000001,000010,SO00000001,C001013,MAT010030,2023-01-09,26,2958.92,236.71,3195.63,USD,1527.74
BD00000002,000010,SO00000002,C001026,MAT010158,2023-01-11,45,73426.51,5874.12,79300.63,USD,32124.62
BD00000003,000010,SO00000004,C001015,MAT010015,2023-01-09,91,7380.97,590.48,7971.45,USD,3494.94
BD00000004,000010,SO00000005,C001016,MAT010061,2023-01-09,75,31746.0,2539.68,34285.68,USD,19713.08
BD00000005,000010,SO00000006,C001008,MAT010070,2023-01-12,87,39229.29,3138.34,42367.63,USD,18494.92
BD00000006,000010,SO00000007,C001018,MAT010054,2023-01-09,2,3683.92,294.71,3978.63,USD,1783.28
BD00000007,000010,SO00000008,C001009,MAT010170,2023-01-16,7,7634.32,610.75,8245.07,USD,3444.0
BD00000008,000010,SO00000009,C001024,MAT010056,2023-01-16,37,1512.19,120.98,1633.17,USD,1012.62
BD00000009,000010,SO00000010,C001035,MAT010088,2023-01-16,38,50168.34,4013.47,54181.81,USD,32238.06
BD00000010,000010,SO00000011,C001005,MAT010144,2023-01-16,58,59048.44,4723.88,63772.32,USD,32262.59
BD00000011,000010,SO00000012,C001033,MAT010120,2023-01-13,29,39587.18,3166.97,42754.15,USD,26083.25
BD00000012,000010,SO00000013,C001007,MAT010131,2023-01-09,66,110740.34,8859.23,119599.57,USD,53974.38
BD00000013,000010,SO00000014,C001029,MAT010135,2023-01-16,86,4200.36,336.03,4536.39,USD,1882.04
BD00000014,000010,SO00000015,C001048,MAT010057,2023-01-09,88,127922.14,10233.77,138155.91,USD,69237.81
BD00000015,000010,SO00000016,C001045,MAT010098,2023-01-17,96,70125.16,5610.01,75735.17,USD,39087.6
BD00000016,000010,SO00000017,C001011,MAT010139,2023-01-16,82,157525.93,12602.07,170128.0,USD,80454.9
BD00000017,000010,SO00000018,C001041,MAT010030,2023-01-17,70,11684.66,934.77,12619.43,USD,6439.82
BD00000018,000010,SO00000020,C001016,MAT010032,2023-01-12,23,28910.93,2312.87,31223.8,USD,16383.74
BD00000019,000010,SO00000021,C001028,MAT010028,2023-01-09,55,5699.78,455.98,6155.76,USD,3061.04
BD00000020,000010,SO00000022,C001043,MAT010115,2023-01-09,75,140897.23,11271.78,152169.01,USD,64362.55
BD00000021,000010,SO00000023,C001019,MAT010091,2023-01-09,91,44003.51,3520.28,47523.79,USD,27056.35
BD00000022,000010,SO00000024,C001029,MAT010004,2023-01-09,77,46594.67,3727.57,50322.24,USD,30113.43
BD00000023,000010,SO00000025,C001048,MAT010072,2023-01-11,39,2395.96,191.68,2587.64,USD,1476.65
BD00000024,000010,SO00000026,C001002,MAT010021,2023-01-10,10,20577.91,1646.23,22224.14,USD,10731.18
BD00000025,000010,SO00000027,C001023,MAT010072,2023-01-16,24,1505.78,120.46,1626.24,USD,1035.68
BD00000026,000010,SO00000028,C001033,MAT010079,2023-01-09,70,15588.34,1247.07,16835.41,USD,7804.69
BD00000027,000010,SO00000029,C001003,MAT010016,2023-01-16,28,1421.11,113.69,1534.8,USD,798.57
BD00000028,000010,SO00000030,C001014,MAT010046,2023-01-13,28,63584.22,5086.74,68670.96,USD,28213.14
BD00000029,000010,SO00000031,C001005,MAT010119,2023-01-16,72,104847.51,8387.8,113235.31,USD,58015.13
BD00000030,000010,SO00000032,C001003,MAT010031,2023-01-11,86,18259.0,1460.72,19719.72,USD,10766.39
BD00000031,000010,SO00000033,C001041,MAT010156,2023-01-16,80,99648.29,7971.86,107620.15,USD,59285.73
BD00000032,000010,SO00000034,C001003,MAT010096,2023-01-09,49,77100.08,6168.01,83268.09,USD,37235.83
BD00000033,000010,SO00000035,C001021,MAT010015,2023-01-12,70,9004.9,720.39,9725.29,USD,5153.98
BD00000034,000010,SO00000036,C001032,MAT010102,2023-01-09,66,46989.28,3759.14,50748.42,USD,24486.26
BD00000035,000010,SO00000037,C001039,MAT010181,2023-01-16,38,79295.97,6343.68,85639.65,USD,48484.44
BD00000036,000010,SO00000038,C001008,MAT010161,2023-01-11,11,18737.49,1499.0,20236.49,USD,12580.05
BD00000037,000010,SO00000039,C001029,MAT010085,2023-01-09,1,1455.32,116.43,1571.75,USD,921.93
BD00000038,000010,SO00000040,C001022,MAT010146,2023-01-16,100,123570.59,9885.65,133456.24,USD,73980.69
BD00000039,000010,SO00000041,C001044,MAT010080,2023-01-16,27,37495.48,2999.64,40495.12,USD,18175.17
BD00000040,000010,SO00000042,C001017,MAT010141,2023-01-13,83,81535.81,6522.86,88058.67,USD,42970.84
BD00000041,000010,SO00000043,C001047,MAT010134,2023-01-11,20,5593.85,447.51,6041.36,USD,3630.39
BD00000042,000010,SO00000044,C001035,MAT010099,2023-01-17,12,1460.23,116.82,1577.05,USD,942.62
BD00000043,000010,SO00000045,C001028,MAT010071,2023-01-09,10,6078.77,486.3,6565.07,USD,3414.09
BD00000044,000010,SO00000046,C001047,MAT010165,2023-01-13,50,45635.21,3650.82,49286.03,USD,30419.5
BD00000045,000010,SO00000047,C001036,MAT010173,2023-01-17,3,3755.95,300.48,4056.43,USD,2353.96
BD00000046,000010,SO00000048,C001026,MAT010149,2023-01-11,83,169820.01,13585.6,183405.61,USD,113716.3
BD00000047,000010,SO00000051,C001016,MAT010045,2023-01-10,12,12612.59,1009.01,13621.6,USD,6891.01
BD00000048,000010,SO00000052,C001019,MAT010024,2023-01-09,85,32015.87,2561.27,34577.14,USD,13530.61
BD00000049,000010,SO00000053,C001042,MAT010105,2023-01-16,18,16422.82,1313.83,17736.65,USD,9555.56
BD00000050,000010,SO00000054,C001014,MAT010054,2023-01-10,19,29558.76,2364.7,31923.46,USD,15527.53
BD00000051,000010,SO00000055,C001042,MAT010083,2023-01-10,2,1006.55,80.52,1087.07,USD,582.75
BD00000052,000010,SO00000056,C001021,MAT010002,2023-01-16,6,2068.18,165.45,2233.63,USD,1253.93
BD00000053,000010,SO00000057,C001000,MAT010115,2023-01-12,71,140995.1,11279.61,152274.71,USD,85204.89
