company_code,asset_number,sub_number,fiscal_year,acquisition_value,accumulated_depreciation,net_book_value,currency
IN01,A0000001,0,2023,41458.33,7082.82,34375.51,USD
IN01,A0000001,0,2024,60830.17,16471.19,44358.98,USD
IN01,A0000001,0,2025,73973.79,27422.45,46551.34,USD
IN01,A0000002,0,2023,45150.8,5117.71,40033.09,USD
IN01,A0000002,0,2024,71711.04,15294.43,56416.61,USD
IN01,A0000002,0,2025,24619.04,7710.93,16908.11,USD
DE01,A0000003,0,2023,34662.6,7781.88,26880.72,USD
DE01,A0000003,0,2024,48555.52,15753.13,32802.39,USD
DE01,A0000003,0,2025,36118.57,15327.52,20791.05,USD
IN01,A0000004,0,2023,61165.75,9310.93,51854.82,USD
IN01,A0000004,0,2024,31849.53,8031.05,23818.48,USD
IN01,A0000004,0,2025,47115.48,16588.78,30526.7,USD
DE01,A0000005,0,2023,42352.41,9508.28,32844.13,USD
DE01,A0000005,0,2024,58775.55,19068.86,39706.69,USD
DE01,A0000005,0,2025,14918.47,6330.9,8587.57,USD
US01,A0000006,0,2023,46984.65,6071.66,40912.99,USD
US01,A0000006,0,2024,76481.16,17526.28,58954.88,USD
US01,A0000006,0,2025,59846.07,19694.72,40151.35,USD
IN01,A0000007,0,2023,55550.21,12471.23,43078.98,USD
IN01,A0000007,0,2024,42367.88,13745.64,28622.24,USD
IN01,A0000007,0,2025,53071.12,22521.63,30549.49,USD
US01,A0000008,0,2023,59249.85,13301.81,45948.04,USD
US01,A0000008,0,2024,44621.7,14476.86,30144.84,USD
US01,A0000008,0,2025,49554.11,21029.12,28524.99,USD
DE01,A0000009,0,2023,41946.16,9417.07,32529.09,USD
DE01,A0000009,0,2024,57147.53,18540.68,38606.85,USD
DE01,A0000009,0,2025,51057.7,21667.2,29390.5,USD
IN01,A0000010,0,2023,49023.25,7717.55,41305.7,USD
IN01,A0000010,0,2024,33346.38,8581.96,24764.42,USD
IN01,A0000010,0,2025,28307.32,10113.91,18193.41,USD
IN01,A0000011,0,2023,43884.42,9239.46,34644.96,USD
IN01,A0000011,0,2024,22182.13,6886.94,15295.19,USD
IN01,A0000011,0,2025,29213.24,11989.23,17224.01,USD
DE01,A0000012,0,2023,60454.52,13572.27,46882.25,USD
DE01,A0000012,0,2024,45096.1,14630.77,30465.33,USD
DE01,A0000012,0,2025,45310.12,19228.11,26082.01,USD
IN01,A0000013,0,2023,34078.75,7650.81,26427.94,USD
IN01,A0000013,0,2024,73657.2,23897.0,49760.2,USD
IN01,A0000013,0,2025,59164.37,25107.4,34056.97,USD
IN01,A0000014,0,2023,42583.97,7729.82,34854.15,USD
IN01,A0000014,0,2024,39093.03,11002.77,28090.26,USD
IN01,A0000014,0,2025,44749.56,17066.7,27682.86,USD
IN01,A0000015,0,2023,62668.31,14069.27,48599.04,USD
IN01,A0000015,0,2024,54475.68,17673.83,36801.85,USD
IN01,A0000015,0,2025,52391.46,22233.2,30158.26,USD
IN01,A0000016,0,2023,35717.66,5339.31,30378.35,USD
IN01,A0000016,0,2024,76557.8,19094.91,57462.89,USD
IN01,A0000016,0,2025,16981.73,5932.56,11049.17,USD
US01,A0000017,0,2023,48079.76,9174.97,38904.79,USD
US01,A0000017,0,2024,45007.73,13086.44,31921.29,USD
US01,A0000017,0,2025,57782.65,22575.18,35207.47,USD
DE01,A0000018,0,2023,47511.24,9456.72,38054.52,USD
DE01,A0000018,0,2024,52396.84,15665.26,36731.58,USD
DE01,A0000018,0,2025,51628.29,20594.78,31033.51,USD
IN01,A0000019,0,2023,72458.03,8609.66,63848.37,USD
IN01,A0000019,0,2024,29208.37,6389.46,22818.91,USD
IN01,A0000019,0,2025,13524.49,4310.06,9214.43,USD
DE01,A0000020,0,2023,54155.0,11846.64,42308.36,USD
DE01,A0000020,0,2024,46411.63,14790.73,31620.9,USD
DE01,A0000020,0,2025,9059.88,3792.62,5267.26,USD
US01,A0000021,0,2023,33127.04,6221.81,26905.23,USD
US01,A0000021,0,2024,82467.24,23729.79,58737.45,USD
US01,A0000021,0,2025,33747.98,13083.41,20664.57,USD
US01,A0000022,0,2023,34676.37,7414.71,27261.66,USD
US01,A0000022,0,2024,39712.37,12460.06,27252.31,USD
US01,A0000022,0,2025,60245.02,24922.72,35322.3,USD
DE01,A0000023,0,2023,39114.42,8781.33,30333.09,USD
DE01,A0000023,0,2024,58331.94,18924.94,39407.0,USD
DE01,A0000023,0,2025,46839.34,19877.06,26962.28,USD
DE01,A0000024,0,2023,44913.7,10083.29,34830.41,USD
DE01,A0000024,0,2024,41806.89,13563.63,28243.26,USD
DE01,A0000024,0,2025,60479.83,25665.64,34814.19,USD
IN01,A0000025,0,2023,40097.01,9001.93,31095.08,USD
IN01,A0000025,0,2024,49244.62,15976.69,33267.93,USD
IN01,A0000025,0,2025,42286.13,17944.83,24341.3,USD
US01,A0000026,0,2023,63402.84,12185.84,51217.0,USD
US01,A0000026,0,2024,53616.06,15662.79,37953.27,USD
US01,A0000026,0,2025,8705.67,3413.15,5292.52,USD
DE01,A0000027,0,2023,53605.15,9290.09,44315.06,USD
DE01,A0000027,0,2024,75927.88,20746.34,55181.54,USD
DE01,A0000027,0,2025,51979.05,19396.97,32582.08,USD
IN01,A0000028,0,2023,67653.3,7427.51,60225.79,USD
IN01,A0000028,0,2024,65600.22,13757.64,51842.58,USD
IN01,A0000028,0,2025,39927.75,12363.66,27564.09,USD
US01,A0000029,0,2023,52925.01,6245.22,46679.79,USD
US01,A0000029,0,2024,42524.94,9267.58,33257.36,USD
US01,A0000029,0,2025,39714.6,12623.86,27090.74,USD
