profit_center,controlling_area,profit_center_name,valid_from,valid_to
PC001,A000,Profit Center PC001,2022-04-01,2025-03-31
PC002,A000,Profit Center PC002,2022-04-01,2025-03-31
PC003,A000,Profit Center PC003,2022-04-01,2025-03-31
PC004,A000,Profit Center PC004,2022-04-01,2025-03-31
PC005,A000,Profit Center PC005,2022-04-01,2025-03-31
PC006,A000,Profit Center PC006,2022-04-01,2025-03-31
PC007,A000,Profit Center PC007,2022-04-01,2025-03-31
PC008,A000,Profit Center PC008,2022-04-01,2025-03-31
PC009,A000,Profit Center PC009,2022-04-01,2025-03-31
PC010,A000,Profit Center PC010,2022-04-01,2025-03-31
PC011,A000,Profit Center PC011,2022-04-01,2025-03-31
PC012,A000,Profit Center PC012,2022-04-01,2025-03-31
PC013,A000,Profit Center PC013,2022-04-01,2025-03-31
PC014,A000,Profit Center PC014,2022-04-01,2025-03-31
PC015,A000,Profit Center PC015,2022-04-01,2025-03-31
PC016,A000,Profit Center PC016,2022-04-01,2025-03-31
PC017,A000,Profit Center PC017,2022-04-01,2025-03-31
PC018,A000,Profit Center PC018,2022-04-01,2025-03-31
PC019,A000,Profit Center PC019,2022-04-01,2025-03-31
PC020,A000,Profit Center PC020,2022-04-01,2025-03-31
