vendor_id,company_code,document_number,line_item,posting_date,document_date,clearing_date,amount_in_doc_currency,currency,debit_credit_indicator,clearing_document,open_item_status,due_date
VEND049,IN01,POINV00000001,1,2023-04-03,2023-04-03,2023-04-08,-1073.64,INR,H,VPAY00000002,Cleared,2023-05-21
VEND049,IN01,VPAY00000002,1,2023-04-08,2023-04-08,2023-04-08,1073.64,INR,S,POINV00000001,Cleared,
VEND256,IN01,POINV00000003,1,2023-04-03,2023-04-03,,-745.52,INR,H,,Open,2023-05-27
VEND335,IN01,POINV00000004,1,2023-04-03,2023-04-03,2023-04-15,-734.46,INR,H,VPAY00000005,Cleared,2023-05-27
VEND335,IN01,VPAY00000005,1,2023-04-15,2023-04-15,2023-04-15,734.46,INR,S,POINV00000004,Cleared,
VEND049,DE01,POINV00000006,1,2023-04-03,2023-04-03,2023-05-19,-764.58,EUR,H,VPAY00000007,Cleared,2023-05-20
VEND049,DE01,VPAY00000007,1,2023-05-19,2023-05-19,2023-05-19,764.58,EUR,S,POINV00000006,Cleared,
VEND345,DE01,POINV00000008,1,2023-04-03,2023-04-03,,-649.49,EUR,H,,Open,2023-05-24
VEND161,US01,POINV00000009,1,2023-04-03,2023-04-03,2023-04-28,-328.63,USD,H,VPAY00000010,Cleared,2023-05-30
VEND161,US01,VPAY00000010,1,2023-04-28,2023-04-28,2023-04-28,328.63,USD,S,POINV00000009,Cleared,
VEND368,DE01,POINV00000011,1,2023-04-03,2023-04-03,2023-04-26,-1001.25,EUR,H,VPAY00000012,Cleared,2023-05-29
VEND368,DE01,VPAY00000012,1,2023-04-26,2023-04-26,2023-04-26,1001.25,EUR,S,POINV00000011,Cleared,
VEND460,DE01,POINV00000013,1,2023-04-03,2023-04-03,2023-04-12,-841.71,EUR,H,VPAY00000014,Cleared,2023-05-18
VEND460,DE01,VPAY00000014,1,2023-04-12,2023-04-12,2023-04-12,841.71,EUR,S,POINV00000013,Cleared,
VEND438,DE01,POINV00000015,1,2023-04-03,2023-04-03,2023-05-02,-642.2,EUR,H,VPAY00000016,Cleared,2023-05-30
VEND438,DE01,VPAY00000016,1,2023-05-02,2023-05-02,2023-05-02,642.2,EUR,S,POINV00000015,Cleared,
VEND020,DE01,POINV00000017,1,2023-04-03,2023-04-03,2023-05-26,-811.31,EUR,H,VPAY00000018,Cleared,2023-05-29
VEND020,DE01,VPAY00000018,1,2023-05-26,2023-05-26,2023-05-26,811.31,EUR,S,POINV00000017,Cleared,
VEND076,US01,POINV00000019,1,2023-04-03,2023-04-03,2023-05-14,-793.0,USD,H,VPAY00000020,Cleared,2023-05-31
VEND076,US01,VPAY00000020,1,2023-05-14,2023-05-14,2023-05-14,793.0,USD,S,POINV00000019,Cleared,
VEND440,DE01,POINV00000021,1,2023-04-03,2023-04-03,2023-05-10,-253.55,EUR,H,VPAY00000022,Cleared,2023-05-21
VEND440,DE01,VPAY00000022,1,2023-05-10,2023-05-10,2023-05-10,253.55,EUR,S,POINV00000021,Cleared,
VEND218,DE01,POINV00000023,1,2023-04-03,2023-04-03,2023-04-25,-1153.1,EUR,H,VPAY00000024,Cleared,2023-05-18
VEND218,DE01,VPAY00000024,1,2023-04-25,2023-04-25,2023-04-25,1153.1,EUR,S,POINV00000023,Cleared,
VEND311,DE01,POINV00000025,1,2023-04-03,2023-04-03,,-1130.72,EUR,H,,Open,2023-05-20
VEND456,IN01,POINV00000026,1,2023-04-03,2023-04-03,,-889.92,INR,H,,Open,2023-05-18
VEND058,DE01,POINV00000027,1,2023-04-03,2023-04-03,2023-05-15,-830.24,EUR,H,VPAY00000028,Cleared,2023-05-20
VEND058,DE01,VPAY00000028,1,2023-05-15,2023-05-15,2023-05-15,830.24,EUR,S,POINV00000027,Cleared,
VEND302,DE01,POINV00000029,1,2023-04-03,2023-04-03,,-558.28,EUR,H,,Open,2023-05-21
VEND446,US01,POINV00000030,1,2023-04-03,2023-04-03,,-668.67,USD,H,,Open,2023-05-29
VEND441,DE01,POINV00000031,1,2023-04-03,2023-04-03,,-745.4,EUR,H,,Open,2023-05-21
VEND376,DE01,POINV00000032,1,2023-04-03,2023-04-03,,-842.22,EUR,H,,Open,2023-05-28
VEND459,DE01,POINV00000033,1,2023-04-03,2023-04-03,,-755.61,EUR,H,,Open,2023-06-01
VEND085,US01,POINV00000034,1,2023-04-03,2023-04-03,2023-05-31,-781.94,USD,H,VPAY00000035,Cleared,2023-05-21
VEND085,US01,VPAY00000035,1,2023-05-31,2023-05-31,2023-05-31,781.94,USD,S,POINV00000034,Cleared,
VEND363,DE01,POINV00000036,1,2023-04-03,2023-04-03,2023-04-09,-738.07,EUR,H,VPAY00000037,Cleared,2023-05-31
VEND363,DE01,VPAY00000037,1,2023-04-09,2023-04-09,2023-04-09,738.07,EUR,S,POINV00000036,Cleared,
VEND212,IN01,POINV00000038,1,2023-04-03,2023-04-03,2023-04-08,-633.43,INR,H,VPAY00000039,Cleared,2023-05-20
