material_number,plant,valuation_type,valuation_area,standard_price,moving_average_price,total_stock,total_value_stock,last_update_date
MAT0000001,PL03,,PL03,10.86,10.48,613.0,6424.24,2024-03-11
MAT0000002,PL02,,PL02,10.0,10.27,675.0,6932.25,2024-03-11
MAT0000003,PL03,,PL03,18.41,17.72,485.0,8594.2,2024-03-11
MAT0000004,PL02,,PL02,11.69,12.21,564.0,6886.44,2024-03-25
MAT0000005,PL02,,PL02,13.44,13.06,402.0,5250.12,2024-03-28
MAT0000006,PL03,,PL03,40.91,39.05,784.0,30615.2,2024-03-23
MAT0000007,PL02,,PL02,50.8,49.65,635.0,31527.75,2024-03-08
MAT0000008,PL02,,PL02,11.9,11.96,335.0,4006.6,2024-03-11
MAT0000009,PL02,,PL02,37.16,36.58,248.0,9071.84,2024-03-12
MAT0000010,PL01,,PL01,60.22,62.42,708.0,44193.36,2024-03-07
MAT0000011,PL01,,PL01,10.96,10.76,506.0,5444.56,2024-03-07
MAT0000012,PL03,,PL03,10.0,9.97,480.0,4785.6,2024-03-13
MAT0000013,PL01,,PL01,28.16,27.97,664.0,18572.08,2024-03-03
MAT0000014,PL03,,PL03,14.7,14.76,120.0,1771.2,2024-03-22
MAT0000015,PL03,,PL03,24.0,24.18,591.0,14290.38,2024-03-23
MAT0000016,PL01,,PL01,13.18,12.9,546.0,7043.4,2024-03-27
MAT0000017,PL01,,PL01,13.13,12.92,671.0,8669.32,2024-03-17
MAT0000018,PL02,,PL02,10.0,10.38,548.0,5688.24,2024-03-09
MAT0000019,PL03,,PL03,13.82,13.59,735.0,9988.65,2024-03-09
MAT0000020,PL01,,PL01,10.0,9.58,246.0,2356.68,2024-03-24
MAT0000021,PL02,,PL02,17.64,17.32,367.0,6356.44,2024-03-26
MAT0000022,PL01,,PL01,16.36,16.29,725.0,11810.25,2024-03-03
MAT0000023,PL01,,PL01,10.0,10.28,368.0,3783.04,2024-03-30
MAT0000024,PL01,,PL01,10.0,9.65,0.0,0.0,2024-03-07
MAT0000025,PL02,,PL02,14.61,15.17,590.0,8950.3,2024-03-20
MAT0000026,PL01,,PL01,11.39,11.26,416.0,4684.16,2024-03-10
MAT0000027,PL02,,PL02,10.0,10.27,0.0,0.0,2024-03-20
MAT0000028,PL01,,PL01,10.0,9.66,625.0,6037.5,2024-03-22
MAT0000029,PL02,,PL02,31.99,33.29,653.0,21738.37,2024-03-15
MAT0000030,PL01,,PL01,38.63,39.13,592.0,23164.96,2024-03-06
MAT0000031,PL01,,PL01,10.0,10.09,739.0,7456.51,2024-03-16
MAT0000032,PL01,,PL01,10.0,10.49,608.0,6377.92,2024-03-29
MAT0000033,PL02,,PL02,30.67,31.2,382.0,11918.4,2024-03-02
MAT0000034,PL02,,PL02,10.0,10.01,95.0,950.95,2024-03-01
MAT0000035,PL02,,PL02,52.39,53.84,104.0,5599.36,2024-03-22
MAT0000036,PL03,,PL03,10.0,9.64,268.0,2583.52,2024-03-24
MAT0000037,PL01,,PL01,24.8,25.26,374.0,9447.24,2024-03-27
MAT0000038,PL03,,PL03,10.0,10.48,528.0,5533.44,2024-03-29
MAT0000039,PL01,,PL01,10.0,9.84,254.0,2499.36,2024-03-29
MAT0000040,PL03,,PL03,11.5,11.55,329.0,3799.95,2024-03-09
MAT0000041,PL01,,PL01,25.99,25.54,401.0,10241.54,2024-03-03
MAT0000042,PL02,,PL02,31.71,31.51,297.0,9358.47,2024-03-29
MAT0000043,PL01,,PL01,10.0,9.55,497.0,4746.35,2024-03-21
MAT0000044,PL03,,PL03,10.0,10.0,476.0,4760.0,2024-03-01
MAT0000045,PL01,,PL01,16.25,16.25,783.0,12723.75,2024-03-22
MAT0000046,PL01,,PL01,10.29,10.79,518.0,5589.22,2024-03-10
MAT0000047,PL01,,PL01,10.0,9.72,351.0,3411.72,2024-03-14
MAT0000048,PL01,,PL01,26.84,27.41,328.0,8990.48,2024-03-03
MAT0000049,PL01,,PL01,31.6,30.83,443.0,13657.69,2024-03-07
MAT0000050,PL02,,PL02,12.47,12.21,285.0,3479.85,2024-03-03
MAT0000051,PL01,,PL01,21.75,20.97,814.0,17069.58,2024-03-22
MAT0000052,PL02,,PL02,10.0,9.97,308.0,3070.76,2024-03-30
MAT0000053,PL03,,PL03,10.0,10.17,543.0,5522.31,2024-03-06
MAT0000054,PL02,,PL02,22.66,23.15,455.0,10533.25,2024-03-23
MAT0000055,PL03,,PL03,16.03,16.42,542.0,8899.64,2024-03-23
MAT0000056,PL02,,PL02,10.0,10.14,33.0,334.62,2024-03-19
MAT0000057,PL02,,PL02,10.0,10.23,464.0,4746.72,2024-03-13
MAT0000058,PL03,,PL03,10.0,10.44,591.0,6170.04,2024-03-10
MAT0000059,PL01,,PL01,10.0,9.91,692.0,6857.72,2024-03-03
MAT0000060,PL03,,PL03,10.0,9.66,797.0,7699.02,2024-03-23
MAT0000061,PL01,,PL01,43.73,44.15,0.0,0.0,2024-03-16
MAT0000062,PL02,,PL02,10.0,10.04,499.0,5009.96,2024-03-22
MAT0000063,PL01,,PL01,24.25,24.39,635.0,15487.65,2024-03-14
MAT0000064,PL02,,PL02,10.0,9.91,500.0,4955.0,2024-03-21
MAT0000065,PL02,,PL02,10.0,10.23,34.0,347.82,2024-03-03
MAT0000066,PL01,,PL01,27.13,26.06,592.0,15427.52,2024-03-09
MAT0000067,PL03,,PL03,13.25,13.49,468.0,6313.32,2024-03-08
MAT0000068,PL03,,PL03,18.13,17.52,628.0,11002.56,2024-03-21
MAT0000069,PL03,,PL03,10.58,10.39,528.0,5485.92,2024-03-24
MAT0000070,PL01,,PL01,19.78,19.94,559.0,11146.46,2024-03-13
MAT0000071,PL01,,PL01,10.0,9.74,804.0,7830.96,2024-03-25
MAT0000072,PL01,,PL01,10.0,10.28,721.0,7411.88,2024-03-22
MAT0000073,PL03,,PL03,27.53,28.04,372.0,10430.88,2024-03-20
MAT0000074,PL03,,PL03,10.0,9.53,536.0,5108.08,2024-03-11
MAT0000075,PL02,,PL02,10.0,9.57,724.0,6928.68,2024-03-02
MAT0000076,PL01,,PL01,10.0,9.71,755.0,7331.05,2024-03-28
MAT0000077,PL01,,PL01,11.88,11.73,669.0,7847.37,2024-03-12
MAT0000078,PL03,,PL03,10.0,10.42,284.0,2959.28,2024-03-03
MAT0000079,PL03,,PL03,23.73,24.3,986.0,23959.8,2024-03-20
MAT0000080,PL03,,PL03,11.66,11.8,414.0,4885.2,2024-03-12
MAT0000081,PL02,,PL02,10.0,10.34,446.0,4611.64,2024-03-05
MAT0000082,PL03,,PL03,49.76,50.54,687.0,34720.98,2024-03-05
MAT0000083,PL02,,PL02,10.0,10.29,710.0,7305.9,2024-03-18
MAT0000084,PL01,,PL01,19.59,20.24,878.0,17770.72,2024-03-05
MAT0000085,PL03,,PL03,11.37,11.08,504.0,5584.32,2024-03-15
MAT0000086,PL02,,PL02,10.0,10.37,895.0,9281.15,2024-03-08
MAT0000087,PL02,,PL02,10.0,9.6,531.0,5097.6,2024-03-26
MAT0000088,PL01,,PL01,10.0,9.54,231.0,2203.74,2024-03-20
MAT0000089,PL03,,PL03,10.0,9.81,608.0,5964.48,2024-03-06
MAT0000090,PL03,,PL03,38.94,40.76,745.0,30366.2,2024-03-03
MAT0000091,PL03,,PL03,13.55,13.53,675.0,9132.75,2024-03-21
MAT0000092,PL03,,PL03,38.27,39.55,382.0,15108.1,2024-03-02
MAT0000093,PL03,,PL03,10.0,9.78,910.0,8899.8,2024-03-24
MAT0000094,PL03,,PL03,10.0,9.71,591.0,5738.61,2024-03-23
MAT0000095,PL01,,PL01,34.03,34.52,583.0,20125.16,2024-03-04
MAT0000096,PL02,,PL02,29.29,28.71,800.0,22968.0,2024-03-09
MAT0000097,PL02,,PL02,10.0,9.66,423.0,4086.18,2024-03-24
MAT0000098,PL02,,PL02,62.69,59.85,716.0,42852.6,2024-03-21
MAT0000099,PL02,,PL02,15.6,15.47,268.0,4145.96,2024-03-27
MAT0000100,PL01,,PL01,25.53,25.22,740.0,18662.8,2024-03-31
MAT0000101,PL03,,PL03,14.34,14.98,236.0,3535.28,2024-03-13
MAT0000102,PL03,,PL03,25.61,26.24,705.0,18499.2,2024-03-18
MAT0000103,PL03,,PL03,160.75,160.02,745.0,119214.9,2024-03-21
MAT0000104,PL02,,PL02,18.16,17.33,620.0,10744.6,2024-03-21
MAT0000105,PL02,,PL02,14.85,15.59,393.0,6126.87,2024-03-07
MAT0000106,PL02,,PL02,17.82,18.02,640.0,11532.8,2024-03-25
MAT0000107,PL01,,PL01,15.0,15.4,648.0,9979.2,2024-03-10
MAT0000108,PL03,,PL03,10.0,10.4,474.0,4929.6,2024-03-22
MAT0000109,PL03,,PL03,10.0,9.64,246.0,2371.44,2024-03-17
MAT0000110,PL01,,PL01,92.05,93.56,632.0,59129.92,2024-03-20
MAT0000111,PL02,,PL02,10.0,9.96,88.0,876.48,2024-03-07
MAT0000112,PL02,,PL02,12.21,12.61,364.0,4590.04,2024-03-23
MAT0000113,PL03,,PL03,10.0,9.84,391.0,3847.44,2024-03-11
MAT0000114,PL03,,PL03,10.0,10.12,572.0,5788.64,2024-03-09
MAT0000115,PL02,,PL02,11.62,11.91,675.0,8039.25,2024-03-30
MAT0000116,PL02,,PL02,11.1,11.56,479.0,5537.24,2024-03-17
MAT0000117,PL03,,PL03,10.0,9.56,398.0,3804.88,2024-03-14
MAT0000118,PL02,,PL02,10.0,9.85,304.0,2994.4,2024-03-14
MAT0000119,PL01,,PL01,10.0,10.5,372.0,3906.0,2024-03-19
MAT0000120,PL01,,PL01,27.9,28.08,488.0,13703.04,2024-03-15
MAT0000121,PL02,,PL02,24.1,23.37,323.0,7548.51,2024-03-03
MAT0000122,PL01,,PL01,34.4,33.76,576.0,19445.76,2024-03-28
MAT0000123,PL03,,PL03,10.0,10.15,431.0,4374.65,2024-03-13
MAT0000124,PL02,,PL02,10.0,9.76,661.0,6451.36,2024-03-10
MAT0000125,PL03,,PL03,15.24,14.87,507.0,7539.09,2024-03-06
MAT0000126,PL02,,PL02,33.32,34.31,607.0,20826.17,2024-03-20
MAT0000127,PL03,,PL03,10.0,9.81,273.0,2678.13,2024-03-25
MAT0000128,PL01,,PL01,21.96,21.94,666.0,14612.04,2024-03-12
MAT0000129,PL01,,PL01,19.0,18.74,490.0,9182.6,2024-03-26
MAT0000130,PL02,,PL02,11.23,10.78,626.0,6748.28,2024-03-25
MAT0000131,PL02,,PL02,22.19,21.24,366.0,7773.84,2024-03-25
MAT0000132,PL02,,PL02,10.0,10.17,111.0,1128.87,2024-03-15
MAT0000133,PL01,,PL01,31.38,31.08,655.0,20357.4,2024-03-11
MAT0000134,PL02,,PL02,10.33,10.33,350.0,3615.5,2024-03-13
MAT0000135,PL01,,PL01,21.24,21.63,342.0,7397.46,2024-03-31
MAT0000136,PL02,,PL02,39.01,39.16,318.0,12452.88,2024-03-26
MAT0000137,PL02,,PL02,19.31,19.35,460.0,8901.0,2024-03-18
MAT0000138,PL01,,PL01,29.45,30.33,180.0,5459.4,2024-03-17
MAT0000139,PL01,,PL01,28.02,29.29,610.0,17866.9,2024-03-09
MAT0000140,PL01,,PL01,17.21,17.93,297.0,5325.21,2024-03-27
MAT0000141,PL03,,PL03,31.11,30.99,361.0,11187.39,2024-03-29
MAT0000142,PL03,,PL03,10.0,10.05,570.0,5728.5,2024-03-13
MAT0000143,PL03,,PL03,11.78,11.5,359.0,4128.5,2024-03-19
MAT0000144,PL03,,PL03,10.0,10.36,579.0,5998.44,2024-03-16
MAT0000145,PL02,,PL02,10.0,10.27,376.0,3861.52,2024-03-24
MAT0000146,PL01,,PL01,10.0,10.16,1036.0,10525.76,2024-03-07
MAT0000147,PL03,,PL03,74.74,71.77,488.0,35023.76,2024-03-16
MAT0000148,PL03,,PL03,10.0,10.34,651.0,6731.34,2024-03-28
MAT0000149,PL01,,PL01,10.0,9.58,0.0,0.0,2024-03-13
MAT0000150,PL01,,PL01,10.0,10.3,452.0,4655.6,2024-03-19
MAT0000151,PL01,,PL01,15.25,14.55,516.0,7507.8,2024-03-18
MAT0000152,PL03,,PL03,11.53,11.17,575.0,6422.75,2024-03-28
MAT0000153,PL01,,PL01,52.98,53.6,870.0,46632.0,2024-03-01
MAT0000154,PL01,,PL01,21.9,21.04,685.0,14412.4,2024-03-17
MAT0000155,PL02,,PL02,10.0,10.16,582.0,5913.12,2024-03-16
MAT0000156,PL03,,PL03,37.35,36.02,429.0,15452.58,2024-03-12
MAT0000157,PL03,,PL03,11.68,11.44,871.0,9964.24,2024-03-03
MAT0000158,PL03,,PL03,10.0,10.04,727.0,7299.08,2024-03-19
MAT0000159,PL02,,PL02,90.35,91.4,355.0,32447.0,2024-03-23
MAT0000160,PL02,,PL02,31.07,30.07,701.0,21079.07,2024-03-30
MAT0000161,PL02,,PL02,10.0,9.54,272.0,2594.88,2024-03-15
MAT0000162,PL03,,PL03,10.0,10.33,416.0,4297.28,2024-03-07
MAT0000163,PL03,,PL03,16.24,16.78,754.0,12652.12,2024-03-02
MAT0000164,PL03,,PL03,20.46,21.17,968.0,20492.56,2024-03-06
MAT0000165,PL02,,PL02,10.86,11.23,385.0,4323.55,2024-03-31
MAT0000166,PL01,,PL01,59.22,61.12,790.0,48284.8,2024-03-10
MAT0000167,PL02,,PL02,17.93,18.04,723.0,13042.92,2024-03-17
MAT0000168,PL03,,PL03,40.02,38.33,834.0,31967.22,2024-03-20
MAT0000169,PL03,,PL03,25.42,24.34,579.0,14092.86,2024-03-09
MAT0000170,PL01,,PL01,10.0,10.1,714.0,7211.4,2024-03-12
MAT0000171,PL01,,PL01,15.89,15.27,520.0,7940.4,2024-03-15
MAT0000172,PL03,,PL03,10.0,10.4,533.0,5543.2,2024-03-22
MAT0000173,PL03,,PL03,10.0,9.96,63.0,627.48,2024-03-20
MAT0000174,PL01,,PL01,10.0,10.35,982.0,10163.7,2024-03-25
MAT0000175,PL03,,PL03,30.36,31.69,653.0,20693.57,2024-03-16
MAT0000176,PL02,,PL02,65.89,62.84,494.0,31042.96,2024-03-21
MAT0000177,PL01,,PL01,10.0,9.83,482.0,4738.06,2024-03-08
MAT0000178,PL02,,PL02,51.2,53.06,315.0,16713.9,2024-03-30
MAT0000179,PL01,,PL01,10.0,10.24,430.0,4403.2,2024-03-03
MAT0000180,PL01,,PL01,11.09,11.25,620.0,6975.0,2024-03-31
MAT0000181,PL02,,PL02,14.75,14.14,790.0,11170.6,2024-03-27
MAT0000182,PL03,,PL03,28.4,29.28,839.0,24565.92,2024-03-01
MAT0000183,PL02,,PL02,10.0,10.45,560.0,5852.0,2024-03-27
MAT0000184,PL02,,PL02,13.45,13.11,190.0,2490.9,2024-03-18
MAT0000185,PL01,,PL01,10.41,10.67,691.0,7372.97,2024-03-25
MAT0000186,PL02,,PL02,18.44,17.75,643.0,11413.25,2024-03-17
MAT0000187,PL01,,PL01,10.0,9.85,234.0,2304.9,2024-03-15
MAT0000188,PL02,,PL02,27.57,28.58,633.0,18091.14,2024-03-30
MAT0000189,PL01,,PL01,10.0,9.72,706.0,6862.32,2024-03-02
MAT0000190,PL01,,PL01,17.19,16.64,563.0,9368.32,2024-03-09
MAT0000191,PL01,,PL01,20.53,21.22,700.0,14854.0,2024-03-29
MAT0000192,PL03,,PL03,10.77,11.14,428.0,4767.92,2024-03-23
MAT0000193,PL02,,PL02,16.13,16.41,464.0,7614.24,2024-03-15
MAT0000194,PL01,,PL01,10.0,9.92,716.0,7102.72,2024-03-09
MAT0000195,PL02,,PL02,10.0,9.53,437.0,4164.61,2024-03-15
MAT0000196,PL02,,PL02,12.07,12.28,221.0,2713.88,2024-03-30
MAT0000197,PL01,,PL01,10.0,10.26,650.0,6669.0,2024-03-04
MAT0000198,PL03,,PL03,19.84,20.55,577.0,11857.35,2024-03-13
MAT0000199,PL02,,PL02,23.77,24.72,804.0,19874.88,2024-03-22
MAT0000200,PL03,,PL03,14.42,14.6,492.0,7183.2,2024-03-27
MAT0000201,PL02,,PL02,10.92,11.22,489.0,5486.58,2024-03-26
MAT0000202,PL02,,PL02,10.0,10.4,237.0,2464.8,2024-03-07
MAT0000203,PL03,,PL03,41.86,40.23,620.0,24942.6,2024-03-13
MAT0000204,PL03,,PL03,15.26,15.42,698.0,10763.16,2024-03-02
MAT0000205,PL01,,PL01,14.65,14.37,652.0,9369.24,2024-03-31
MAT0000206,PL03,,PL03,17.03,16.22,551.0,8937.22,2024-03-07
MAT0000207,PL01,,PL01,10.0,9.81,332.0,3256.92,2024-03-16
MAT0000208,PL01,,PL01,10.0,10.48,452.0,4736.96,2024-03-16
MAT0000209,PL02,,PL02,25.21,24.5,672.0,16464.0,2024-03-13
MAT0000210,PL02,,PL02,10.0,10.27,384.0,3943.68,2024-03-23
MAT0000211,PL03,,PL03,18.51,18.9,387.0,7314.3,2024-03-06
MAT0000212,PL03,,PL03,17.76,17.57,496.0,8714.72,2024-03-25
MAT0000213,PL01,,PL01,21.75,22.13,106.0,2345.78,2024-03-08
MAT0000214,PL01,,PL01,10.32,10.76,650.0,6994.0,2024-03-01
MAT0000215,PL02,,PL02,10.0,9.71,324.0,3146.04,2024-03-28
MAT0000216,PL03,,PL03,10.0,10.29,655.0,6739.95,2024-03-01
MAT0000217,PL03,,PL03,13.82,14.45,503.0,7268.35,2024-03-23
MAT0000218,PL03,,PL03,10.0,10.07,527.0,5306.89,2024-03-02
MAT0000219,PL02,,PL02,14.66,14.6,766.0,11183.6,2024-03-18
MAT0000220,PL01,,PL01,10.0,10.24,453.0,4638.72,2024-03-24
MAT0000221,PL01,,PL01,11.87,11.85,356.0,4218.6,2024-03-28
MAT0000222,PL01,,PL01,18.14,18.46,765.0,14121.9,2024-03-20
MAT0000223,PL01,,PL01,13.13,13.16,765.0,10067.4,2024-03-05
