gl_account,account_description,account_group,account_type
100000,Cash Account 100000,ASSET,Balance Sheet
100001,Cash Account 100001,ASSET,Balance Sheet
100002,Cash Account 100002,ASSET,Balance Sheet
100003,Cash Account 100003,ASSET,Balance Sheet
100004,Cash Account 100004,ASSET,Balance Sheet
100005,Cash Account 100005,ASSET,Balance Sheet
100006,Cash Account 100006,ASSET,Balance Sheet
100007,Cash Account 100007,ASSET,Balance Sheet
100008,Cash Account 100008,ASSET,Balance Sheet
100009,Cash Account 100009,ASSET,Balance Sheet
100010,Cash Account 100010,ASSET,Balance Sheet
100011,Cash Account 100011,ASSET,Balance Sheet
100012,Cash Account 100012,ASSET,Balance Sheet
100013,Cash Account 100013,ASSET,Balance Sheet
100014,Cash Account 100014,ASSET,Balance Sheet
100015,Cash Account 100015,ASSET,Balance Sheet
100016,Cash Account 100016,ASSET,Balance Sheet
100017,Cash Account 100017,ASSET,Balance Sheet
100018,Cash Account 100018,ASSET,Balance Sheet
100019,Cash Account 100019,ASSET,Balance Sheet
110000,Receivables Account 110000,ASSET,Balance Sheet
110001,Receivables Account 110001,ASSET,Balance Sheet
110002,Receivables Account 110002,ASSET,Balance Sheet
110003,Receivables Account 110003,ASSET,Balance Sheet
110004,Receivables Account 110004,ASSET,Balance Sheet
110005,Receivables Account 110005,ASSET,Balance Sheet
110006,Receivables Account 110006,ASSET,Balance Sheet
110007,Receivables Account 110007,ASSET,Balance Sheet
110008,Receivables Account 110008,ASSET,Balance Sheet
110009,Receivables Account 110009,ASSET,Balance Sheet
110010,Receivables Account 110010,ASSET,Balance Sheet
110011,Receivables Account 110011,ASSET,Balance Sheet
110012,Receivables Account 110012,ASSET,Balance Sheet
110013,Receivables Account 110013,ASSET,Balance Sheet
110014,Receivables Account 110014,ASSET,Balance Sheet
110015,Receivables Account 110015,ASSET,Balance Sheet
110016,Receivables Account 110016,ASSET,Balance Sheet
110017,Receivables Account 110017,ASSET,Balance Sheet
110018,Receivables Account 110018,ASSET,Balance Sheet
110019,Receivables Account 110019,ASSET,Balance Sheet
120000,Inventory Account 120000,ASSET,Balance Sheet
120001,Inventory Account 120001,ASSET,Balance Sheet
120002,Inventory Account 120002,ASSET,Balance Sheet
120003,Inventory Account 120003,ASSET,Balance Sheet
120004,Inventory Account 120004,ASSET,Balance Sheet
120005,Inventory Account 120005,ASSET,Balance Sheet
120006,Inventory Account 120006,ASSET,Balance Sheet
120007,Inventory Account 120007,ASSET,Balance Sheet
120008,Inventory Account 120008,ASSET,Balance Sheet
120009,Inventory Account 120009,ASSET,Balance Sheet
120010,Inventory Account 120010,ASSET,Balance Sheet
120011,Inventory Account 120011,ASSET,Balance Sheet
120012,Inventory Account 120012,ASSET,Balance Sheet
120013,Inventory Account 120013,ASSET,Balance Sheet
120014,Inventory Account 120014,ASSET,Balance Sheet
120015,Inventory Account 120015,ASSET,Balance Sheet
120016,Inventory Account 120016,ASSET,Balance Sheet
120017,Inventory Account 120017,ASSET,Balance Sheet
120018,Inventory Account 120018,ASSET,Balance Sheet
120019,Inventory Account 120019,ASSET,Balance Sheet
130000,Fixed Assets Gross Account 130000,ASSET,Balance Sheet
130001,Fixed Assets Gross Account 130001,ASSET,Balance Sheet
130002,Fixed Assets Gross Account 130002,ASSET,Balance Sheet
130003,Fixed Assets Gross Account 130003,ASSET,Balance Sheet
130004,Fixed Assets Gross Account 130004,ASSET,Balance Sheet
130005,Fixed Assets Gross Account 130005,ASSET,Balance Sheet
130006,Fixed Assets Gross Account 130006,ASSET,Balance Sheet
