asset_number,sub_number,company_code,asset_class,asset_description,capitalization_date,deactivation_date
A00001,0,CO03,FURNITURE,Behind design team.,20-10-2024,
A00002,0,CO01,COMPUTER,Traditional shoulder sing.,30-09-2022,
A00003,0,CO03,VEHICLE,Job next road what.,13-06-2021,
A00004,0,CO02,BUILDING,Manager laugh gas store reach.,20-04-2023,
A00005,0,CO02,VEHICLE,Onto people however put view.,19-11-2023,
A00006,0,CO02,BUILDING,Interest image the same local.,26-12-2022,
A00007,0,CO02,BUILDING,Want during individual according.,12-07-2024,
A00008,0,CO02,COMPUTER,Business smile try necessary.,10-05-2021,
A00009,0,CO01,VEHICLE,Mouth guy protect data.,03-07-2022,
A00010,0,CO03,BUILDING,Truth million drop many situation.,02-06-2021,
A00011,0,CO01,BUILDING,Only group discuss why organization.,15-05-2022,
A00012,0,CO02,FURNITURE,Special special front pretty action.,31-07-2021,
A00013,0,CO01,BUILDING,Teach book blue game.,09-05-2024,
A00014,0,CO03,VEHICLE,Explain reality pass step first.,08-06-2024,
A00015,0,CO03,BUILDING,Key really wish sing.,16-05-2023,
A00016,0,CO02,VEHICLE,Identify very even level.,18-06-2024,
A00017,0,CO01,BUILDING,Less stop.,01-05-2022,
A00018,0,CO03,VEHICLE,Thought contain fight different.,20-01-2024,
A00019,0,CO02,FURNITURE,You down relationship.,18-06-2022,
A00020,0,CO01,COMPUTER,Student team.,19-05-2024,
A00021,0,CO02,MACHINERY,Network newspaper another view.,11-10-2021,
A00022,0,CO03,MACHINERY,Language his thus education.,01-04-2024,
A00023,0,CO02,VEHICLE,Work style approach drug star.,15-06-2024,
A00024,0,CO01,VEHICLE,Technology anyone various agreement live.,29-03-2023,
A00025,0,CO02,MACHINERY,My start adult specific.,02-10-2023,
A00026,0,CO01,FURNITURE,Upon whole ask sport.,02-09-2021,
A00027,0,CO03,BUILDING,Film us.,31-08-2021,
A00028,0,CO03,MACHINERY,Some occur.,31-05-2024,
A00029,0,CO01,MACHINERY,This never.,03-05-2023,
A00030,0,CO02,MACHINERY,Drug practice.,15-06-2021,
A00031,0,CO01,VEHICLE,Black provide former.,30-09-2024,
A00032,0,CO02,MACHINERY,Do change least.,14-08-2021,
A00033,0,CO03,MACHINERY,Campaign bag network month dream.,30-01-2022,
A00034,0,CO02,MACHINERY,Impact for.,12-11-2021,
A00035,0,CO02,BUILDING,For water result trouble.,19-07-2022,
A00036,0,CO03,MACHINERY,Lay win.,12-02-2022,
