cost_center,controlling_area,cost_center_name,valid_from,valid_to
CC0001,CA01,Guess Dept 1,20-01-2020,30-03-2030
CC0002,CA01,Then Dept 2,16-04-2018,30-03-2030
CC0003,CA01,Herself Dept 3,21-06-2022,30-03-2030
CC0004,CA01,Health Dept 4,09-02-2023,30-03-2030
CC0005,CA01,Floor Dept 5,06-06-2022,30-03-2030
CC0006,CA01,Ask Dept 6,11-07-2020,30-03-2030
CC0007,CA01,Customer Dept 7,01-01-2022,30-03-2030
CC0008,CA01,Detail Dept 8,29-07-2022,30-03-2030
CC0009,CA01,Just Dept 9,09-02-2021,30-03-2030
CC0010,CA01,Little Dept 10,27-08-2020,30-03-2030
CC0011,CA01,Forward Dept 11,11-08-2019,30-03-2030
CC0012,CA01,Fact Dept 12,28-01-2021,30-03-2030
CC0013,CA01,Law Dept 13,13-09-2019,30-03-2030
CC0014,CA01,Figure Dept 14,26-04-2022,30-03-2030
CC0015,CA01,Kid Dept 15,17-07-2018,30-03-2030
CC0016,CA01,Because Dept 16,24-06-2020,30-03-2030
CC0017,CA01,Name Dept 17,16-11-2020,30-03-2030
CC0018,CA01,First Dept 18,18-09-2021,30-03-2030
CC0019,CA01,Interest Dept 19,22-09-2018,30-03-2030
CC0020,CA01,Manager Dept 20,06-04-2021,30-03-2030
CC0021,CA01,American Dept 21,21-03-2023,30-03-2030
CC0022,CA01,Truth Dept 22,25-01-2020,30-03-2030
CC0023,CA01,Then Dept 23,18-10-2021,30-03-2030
CC0024,CA01,Serve Dept 24,13-10-2021,30-03-2030
CC0025,CA01,That Dept 25,22-09-2021,30-03-2030
CC0026,CA01,Article Dept 26,16-01-2021,30-03-2030
CC0027,CA01,Range Dept 27,30-07-2021,30-03-2030
CC0028,CA01,Where Dept 28,02-06-2021,30-03-2030
CC0029,CA01,Me Dept 29,20-01-2019,30-03-2030
CC0030,CA01,Success Dept 30,17-02-2019,30-03-2030
CC0031,CA01,Mention Dept 31,21-08-2021,30-03-2030
CC0032,CA01,Tend Dept 32,26-11-2021,30-03-2030
CC0033,CA01,Type Dept 33,14-06-2022,30-03-2030
CC0034,CA01,Expect Dept 34,20-11-2022,30-03-2030
CC0035,CA01,You Dept 35,02-04-2018,30-03-2030
CC0036,CA01,Team Dept 36,14-11-2020,30-03-2030
CC0037,CA01,Hard Dept 37,27-05-2019,30-03-2030
CC0038,CA01,Actually Dept 38,05-10-2022,30-03-2030
CC0039,CA01,Top Dept 39,13-02-2019,30-03-2030
CC0040,CA01,Memory Dept 40,19-08-2018,30-03-2030
CC0041,CA01,Choice Dept 41,25-05-2018,30-03-2030
CC0042,CA01,Party Dept 42,04-01-2020,30-03-2030
CC0043,CA01,Begin Dept 43,14-04-2021,30-03-2030
CC0044,CA01,Set Dept 44,21-02-2023,30-03-2030
CC0045,CA01,Measure Dept 45,14-02-2020,30-03-2030
CC0046,CA01,Friend Dept 46,06-04-2020,30-03-2030
CC0047,CA01,More Dept 47,18-09-2022,30-03-2030
CC0048,CA01,Hot Dept 48,20-11-2018,30-03-2030
CC0049,CA01,Read Dept 49,28-10-2022,30-03-2030
CC0050,CA01,High Dept 50,08-06-2021,30-03-2030
CC0051,CA01,Follow Dept 51,29-12-2021,30-03-2030
CC0052,CA01,Administration Dept 52,24-03-2021,30-03-2030
CC0053,CA01,Traditional Dept 53,16-07-2020,30-03-2030
CC0054,CA01,Yet Dept 54,31-01-2020,30-03-2030
CC0055,CA01,Within Dept 55,02-12-2020,30-03-2030
CC0056,CA01,Cultural Dept 56,01-08-2020,30-03-2030
CC0057,CA01,Understand Dept 57,29-11-2019,30-03-2030
CC0058,CA01,Quality Dept 58,07-11-2021,30-03-2030
CC0059,CA01,Subject Dept 59,07-08-2018,30-03-2030
CC0060,CA01,Will Dept 60,17-01-2022,30-03-2030
CC0061,CA01,Effect Dept 61,22-05-2018,30-03-2030
CC0062,CA01,Ready Dept 62,08-08-2020,30-03-2030
CC0063,CA01,Place Dept 63,22-05-2018,30-03-2030
CC0064,CA01,Sport Dept 64,26-01-2022,30-03-2030
CC0065,CA01,Treatment Dept 65,17-04-2021,30-03-2030
CC0066,CA01,While Dept 66,17-05-2022,30-03-2030
CC0067,CA01,Recent Dept 67,31-07-2021,30-03-2030
CC0068,CA01,Out Dept 68,26-12-2022,30-03-2030
CC0069,CA01,Family Dept 69,01-01-2019,30-03-2030
CC0070,CA01,Improve Dept 70,05-06-2020,30-03-2030
CC0071,CA01,Whom Dept 71,08-01-2021,30-03-2030
CC0072,CA01,Sure Dept 72,18-09-2018,30-03-2030
CC0073,CA01,Culture Dept 73,03-07-2020,30-03-2030
CC0074,CA01,White Dept 74,13-08-2022,30-03-2030
CC0075,CA01,Crime Dept 75,12-04-2020,30-03-2030
CC0076,CA01,College Dept 76,18-10-2019,30-03-2030
CC0077,CA01,Down Dept 77,11-12-2018,30-03-2030
CC0078,CA01,Leg Dept 78,01-06-2020,30-03-2030
CC0079,CA01,Should Dept 79,06-06-2020,30-03-2030
CC0080,CA01,Per Dept 80,03-08-2018,30-03-2030
CC0081,CA01,Teach Dept 81,06-03-2022,30-03-2030
CC0082,CA01,Free Dept 82,18-03-2023,30-03-2030
CC0083,CA01,State Dept 83,29-10-2022,30-03-2030
CC0084,CA01,Act Dept 84,19-01-2021,30-03-2030
CC0085,CA01,Letter Dept 85,30-06-2018,30-03-2030
CC0086,CA01,Population Dept 86,24-06-2020,30-03-2030
CC0087,CA01,Brother Dept 87,07-06-2019,30-03-2030
CC0088,CA01,Window Dept 88,04-10-2021,30-03-2030
CC0089,CA01,Factor Dept 89,27-07-2020,30-03-2030
CC0090,CA01,Bank Dept 90,10-07-2020,30-03-2030
CC0091,CA01,Follow Dept 91,17-05-2018,30-03-2030
CC0092,CA01,Carry Dept 92,08-05-2020,30-03-2030
CC0093,CA01,West Dept 93,29-06-2022,30-03-2030
CC0094,CA01,Would Dept 94,19-03-2021,30-03-2030
CC0095,CA01,Professional Dept 95,20-05-2022,30-03-2030
CC0096,CA01,Return Dept 96,18-07-2022,30-03-2030
CC0097,CA01,Go Dept 97,28-06-2020,30-03-2030
CC0098,CA01,Down Dept 98,05-11-2022,30-03-2030
CC0099,CA01,National Dept 99,17-03-2020,30-03-2030
CC0100,CA01,Despite Dept 100,19-12-2019,30-03-2030
CC0101,CA01,Think Dept 101,08-03-2021,30-03-2030
CC0102,CA01,Project Dept 102,06-03-2022,30-03-2030
CC0103,CA01,Office Dept 103,10-06-2021,30-03-2030
CC0104,CA01,Culture Dept 104,15-09-2018,30-03-2030
CC0105,CA01,Stuff Dept 105,15-11-2019,30-03-2030
CC0106,CA01,Able Dept 106,17-08-2018,30-03-2030
CC0107,CA01,Who Dept 107,23-02-2021,30-03-2030
CC0108,CA01,Hot Dept 108,01-09-2022,30-03-2030
CC0109,CA01,Upon Dept 109,13-09-2021,30-03-2030
CC0110,CA01,Including Dept 110,20-10-2019,30-03-2030
CC0111,CA01,Everything Dept 111,10-09-2021,30-03-2030
CC0112,CA01,Yet Dept 112,22-07-2018,30-03-2030
CC0113,CA01,Remain Dept 113,04-06-2021,30-03-2030
CC0114,CA01,Service Dept 114,06-10-2021,30-03-2030
CC0115,CA01,Arm Dept 115,14-11-2021,30-03-2030
CC0116,CA01,Different Dept 116,22-08-2022,30-03-2030
CC0117,CA01,Next Dept 117,12-03-2022,30-03-2030
CC0118,CA01,Fill Dept 118,12-05-2018,30-03-2030
CC0119,CA01,Consider Dept 119,24-11-2021,30-03-2030
CC0120,CA01,Laugh Dept 120,13-08-2021,30-03-2030
CC0121,CA01,Value Dept 121,25-06-2019,30-03-2030
CC0122,CA01,Those Dept 122,10-06-2020,30-03-2030
CC0123,CA01,Character Dept 123,30-10-2022,30-03-2030
CC0124,CA01,Choose Dept 124,04-10-2020,30-03-2030
CC0125,CA01,After Dept 125,03-09-2018,30-03-2030
CC0126,CA01,Now Dept 126,25-07-2021,30-03-2030
CC0127,CA01,Table Dept 127,24-06-2020,30-03-2030
CC0128,CA01,Room Dept 128,20-10-2020,30-03-2030
CC0129,CA01,Difficult Dept 129,25-03-2021,30-03-2030
CC0130,CA01,Speech Dept 130,04-06-2020,30-03-2030
CC0131,CA01,Seven Dept 131,17-06-2018,30-03-2030
CC0132,CA01,Unit Dept 132,18-04-2019,30-03-2030
CC0133,CA01,Stage Dept 133,08-06-2018,30-03-2030
CC0134,CA01,Officer Dept 134,11-11-2020,30-03-2030
CC0135,CA01,Father Dept 135,06-02-2020,30-03-2030
CC0136,CA01,From Dept 136,18-05-2021,30-03-2030
CC0137,CA01,Discuss Dept 137,06-09-2019,30-03-2030
CC0138,CA01,General Dept 138,03-05-2021,30-03-2030
CC0139,CA01,Tree Dept 139,12-05-2020,30-03-2030
CC0140,CA01,Amount Dept 140,13-05-2020,30-03-2030
CC0141,CA01,Law Dept 141,26-05-2019,30-03-2030
CC0142,CA01,Crime Dept 142,26-10-2022,30-03-2030
CC0143,CA01,Have Dept 143,24-03-2022,30-03-2030
CC0144,CA01,Member Dept 144,28-04-2018,30-03-2030
CC0145,CA01,Institution Dept 145,25-04-2019,30-03-2030
CC0146,CA01,Have Dept 146,18-06-2018,30-03-2030
CC0147,CA01,Son Dept 147,13-10-2018,30-03-2030
CC0148,CA01,Manager Dept 148,17-03-2022,30-03-2030
CC0149,CA01,Series Dept 149,31-05-2020,30-03-2030
CC0150,CA01,Add Dept 150,23-12-2018,30-03-2030
