customer_number,customer_name,country,city
CUST00001,"Mccarthy, Olson and Buckley",BZ,Toddland
CUST00002,Glenn LLC,MM,West Vickie
CUST00003,"Mccann, Hart and Munoz",AM,Lawrencestad
CUST00004,Yates Inc,WS,East Matthewmouth
CUST00005,"Scott, Dominguez and Johnson",LS,New Jasonport
CUST00006,Powers and Sons,TR,Carlburgh
CUST00007,Brown-Fields,HN,East Jasonstad
CUST00008,"Allen, Bowman and Donaldson",AR,Port Meghanberg
CUST00009,Olson-Lawson,TT,Port Lauratown
CUST00010,Wilson-Hartman,NG,Lake Josephshire
CUST00011,Rodriguez PLC,ET,East Katherine
CUST00012,"Robinson, Smith and Lyons",SG,Jeanneport
CUST00013,Dennis-Allen,HT,Kaylafort
CUST00014,Nelson-Trevino,SG,West Dawn
CUST00015,"Wright, Barnes and Fuentes",VN,Lorifurt
CUST00016,Harris-Brown,ET,Lake Ellenview
CUST00017,Holmes and Sons,ES,West David
CUST00018,"Schwartz, Johnson and Pollard",IN,Valeriefort
CUST00019,"Berger, Franklin and Baker",TJ,Santosshire
CUST00020,Barnett LLC,BI,New Aaron
CUST00021,Adams-Esparza,WS,Port Chad
CUST00022,Abbott-Pena,AF,North Miguel
CUST00023,Austin-Williamson,PH,Lopezmouth
CUST00024,Fry Ltd,LV,Caseyborough
CUST00025,Hartman Group,UA,Carlport
CUST00026,Petersen LLC,IN,North Erika
CUST00027,Munoz Inc,LS,Brownfort
CUST00028,"Lopez, Cruz and Lopez",CD,Brandonmouth
CUST00029,"Hamilton, Thompson and Fuentes",NR,Tinastad
CUST00030,Butler PLC,BF,North Zoe
CUST00031,Bond-Cochran,TD,East James
CUST00032,"Warner, Smith and Shaffer",KM,New Melissa
CUST00033,"Navarro, Lee and Pham",CA,Jeremiahmouth
CUST00034,"Gordon, Mcbride and Moore",LB,Port Maryfurt
CUST00035,Hawkins Group,TL,Mannville
CUST00036,"Shannon, Johnson and Griffith",TH,New Erin
CUST00037,Russell Inc,CF,East Kathryn
CUST00038,Brown and Sons,PE,Douglasside
CUST00039,Patrick PLC,GB,Port Nicholas
CUST00040,Knight-Hill,US,Barberton
CUST00041,"Fox, Murphy and Bright",GM,Davidland
CUST00042,Patrick-Howell,GT,Breannachester
CUST00043,Cole-Gordon,TO,South Lisa
CUST00044,Wong and Sons,HU,Jonesland
CUST00045,Young-Franklin,FR,Port Helen
CUST00046,Chandler Group,TT,Lovemouth
CUST00047,Carroll-Glass,MC,Catherinehaven
CUST00048,Sanchez-Jackson,EG,West Keith
CUST00049,Phillips-Bryant,KM,Lake Brandonside
CUST00050,Martin-Lopez,FJ,New Christine
CUST00051,"Brooks, Singh and Grant",VA,Rebeccashire
CUST00052,"Nelson, Yang and Barnes",BW,Port Courtney
CUST00053,Moore-Singh,ST,Yvonneland
CUST00054,Patterson-Anderson,CO,Lake Dennismouth
CUST00055,Roman-Martinez,SB,North Robert
CUST00056,"Rogers, Green and Mcclure",NI,North Corey
CUST00057,"Hansen, Chen and Johnson",UA,South Michael
CUST00058,Russell-Mcneil,NA,Pattersonland
CUST00059,Lopez PLC,LU,Patriciaton
CUST00060,Fisher-Conley,AT,West Ariel
CUST00061,Underwood-Johnson,BJ,Aaronshire
CUST00062,Franco PLC,BF,Spencermouth
CUST00063,"Gonzalez, Charles and Hernandez",JO,Lake Cherylside
CUST00064,"Wagner, Haynes and Garza",VE,Hooverhaven
CUST00065,Hoffman Inc,GT,New Christopher
CUST00066,Robbins Ltd,BG,South Caroline
CUST00067,Campbell-Bennett,ER,South Garrett
CUST00068,Brown-Harrison,JP,West Pamela
CUST00069,Sanchez LLC,ES,Burkeburgh
CUST00070,Kaufman Group,NP,Brandyfurt
CUST00071,Reynolds PLC,UA,Port Danielburgh
CUST00072,Brooks Ltd,AG,Jamieland
CUST00073,"Rogers, Weeks and Perez",ZA,Cookton
CUST00074,Moore-Lopez,SO,Haleymouth
CUST00075,Huynh-Foley,UY,Port Ann
CUST00076,Jordan PLC,BS,East Steven
CUST00077,Elliott PLC,BR,Lake Albertfort
CUST00078,Clark-Copeland,CO,New Amber
CUST00079,Sherman-Walker,TT,New Christopher
CUST00080,"Black, Johnson and Dixon",GH,Collinsmouth
CUST00081,Clark-Carter,HN,South Vickieton
CUST00082,Blackwell-Turner,PE,Ashleyview
CUST00083,Shaw Ltd,CM,Lake Donna
CUST00084,Smith PLC,MM,Wesleyfort
CUST00085,Robinson-Taylor,BT,New Lindatown
CUST00086,"Zimmerman, Moore and Bell",SR,Griffintown
CUST00087,"Jones, Martin and Fox",BO,West Jennifertown
CUST00088,"Richard, Velasquez and Hall",SC,New Robert
CUST00089,"Taylor, Johnson and Valencia",BR,Elizabethfurt
CUST00090,Maldonado and Sons,SE,Reyesberg
CUST00091,"Suarez, Jones and Dickerson",ID,Emilyberg
CUST00092,Pena-Leonard,KI,North Kellyfort
CUST00093,"Hall, Johns and Knox",CA,Jasonmouth
CUST00094,Hall-Salazar,ML,Port Markshire
CUST00095,Gentry-Bailey,CG,New Tiffany
CUST00096,Erickson Inc,DJ,West Aprilside
CUST00097,"Vazquez, Brooks and Young",CI,Kevinview
CUST00098,"Hunter, Blackwell and Rodriguez",LT,Territon
CUST00099,"Arnold, Yang and Middleton",ZM,Travisport
CUST00100,Morrison-Rodgers,JP,Steeleborough
