vendor_number,vendor_name,country,city
VEND00001,Taylor-Martin Suppliers,EG,Jenniferberg
VEND00002,Owens-Schmidt Suppliers,BI,North Kevin
VEND00003,"Bradford, Hobbs and Norton Suppliers",TM,Port Dustin
VEND00004,Richardson-Smith Suppliers,GB,Housefurt
VEND00005,Gibson LLC Suppliers,MC,West Bethanybury
VEND00006,Henderson-Smith Suppliers,AE,New Sarah
VEND00007,Waller-Brown Suppliers,TL,North Jeremy
VEND00008,Taylor PLC Suppliers,IQ,Lake Laurie
VEND00009,Lewis-Mcgrath Suppliers,IQ,West Erictown
VEND00010,Small PLC Suppliers,SM,Thomasmouth
VEND00011,Jackson PLC Suppliers,LK,Kevinland
VEND00012,"Norton, Hicks and Vaughn Suppliers",PA,South Kristineburgh
VEND00013,"Baker, Torres and Myers Suppliers",BY,Port Jordanport
VEND00014,Brown Ltd Suppliers,TO,East Charles
VEND00015,Schwartz Ltd Suppliers,BT,Watsontown
VEND00016,"Garcia, Smith and Rios Suppliers",EE,Cobbmouth
VEND00017,"Sanchez, Woodard and Burke Suppliers",MZ,Ingramland
VEND00018,Barrett-Reynolds Suppliers,FI,East James
VEND00019,Perez Ltd Suppliers,JP,Morrisstad
VEND00020,King-Page Suppliers,HT,Howellmouth
VEND00021,Morrison Group Suppliers,LA,Amystad
VEND00022,Perez and Sons Suppliers,TM,Lake Stephen
VEND00023,Harris-Carey Suppliers,CI,West Mariah
VEND00024,Dawson-Le Suppliers,BZ,Woodchester
VEND00025,Nguyen-Kelly Suppliers,BZ,Robertchester
VEND00026,Oliver Inc Suppliers,HR,Amandaport
VEND00027,Greene PLC Suppliers,RW,South Chadview
VEND00028,"Miller, Williams and Barton Suppliers",MW,Lake Jeffrey
VEND00029,Stevenson and Sons Suppliers,VN,West Christie
VEND00030,"Hernandez, Smith and Salas Suppliers",MG,Ruthview
VEND00031,Jones and Sons Suppliers,ZA,Port Elizabeth
VEND00032,Anderson Ltd Suppliers,PY,South Amyberg
VEND00033,Allen PLC Suppliers,AM,East Michaelview
VEND00034,Henderson Inc Suppliers,BJ,New Heatherburgh
VEND00035,Duran PLC Suppliers,KH,Port Andrestad
VEND00036,"Richard, Johnson and Garcia Suppliers",PE,Alexandriatown
VEND00037,"Davis, Calderon and Hoffman Suppliers",GW,Brownside
VEND00038,"Ward, White and Ellis Suppliers",MT,North Aliciastad
VEND00039,Johnson and Sons Suppliers,ZA,Romerochester
VEND00040,"Graham, Keller and Johnson Suppliers",CD,Lake Shelbystad
VEND00041,"Harvey, Ramirez and Paul Suppliers",DJ,East Elizabethview
VEND00042,"Harris, West and Smith Suppliers",VE,East Christianburgh
VEND00043,Mcclain and Sons Suppliers,SL,Kempburgh
VEND00044,Bell-Munoz Suppliers,GQ,South Melissafort
VEND00045,Campbell-Phillips Suppliers,TT,North Sarahstad
VEND00046,"Fisher, Chan and Jacobs Suppliers",HN,Donnaburgh
VEND00047,"Myers, Rodriguez and Brooks Suppliers",TL,Lake Sarahtown
