ap_item_id,document_number,company_code,fiscal_year,line_item,vendor_number,posting_date,clearing_date,due_date,amount_local,currency,debit_credit_indicator,is_open
1,AP00000001,CO03,2023,1,VEND00854,01-04-2023,17-04-2023,26-05-2023,14778.42,USD,H,FALSE
2,AP00000002,CO01,2023,1,VEND00105,01-04-2023,29-04-2023,18-05-2023,5932.38,USD,H,FALSE
3,AP00000003,CO02,2023,1,VEND01270,01-04-2023,25-04-2023,17-05-2023,659.53,USD,H,FALSE
4,AP00000004,CO02,2023,1,VEND01021,01-04-2023,31-05-2023,25-05-2023,12524.15,USD,H,FALSE
5,AP00000005,CO03,2023,1,VEND00761,01-04-2023,13-04-2023,30-05-2023,10319.31,USD,H,FALSE
6,AP00000006,CO01,2023,1,VEND01368,02-04-2023,18-04-2023,16-05-2023,9986.74,USD,H,FALSE
7,AP00000007,CO03,2023,1,VEND00138,02-04-2023,,02-06-2023,11142.25,USD,H,TRUE
8,AP00000008,CO03,2023,1,VEND00512,02-04-2023,04-06-2023,25-05-2023,11108.86,USD,H,FALSE
9,AP00000009,CO02,2023,1,VEND00037,02-04-2023,,25-05-2023,14502.47,USD,H,TRUE
10,AP00000010,CO01,2023,1,VEND00923,02-04-2023,27-04-2023,28-05-2023,19022.89,USD,H,FALSE
11,AP00000011,CO02,2023,1,VEND01462,03-04-2023,01-05-2023,24-05-2023,2466.98,USD,H,FALSE
12,AP00000012,CO01,2023,1,VEND01307,03-04-2023,17-04-2023,06-06-2023,580.85,USD,H,FALSE
13,AP00000013,CO03,2023,1,VEND00190,03-04-2023,10-04-2023,05-06-2023,7885.8,USD,H,FALSE
14,AP00000014,CO03,2023,1,VEND00239,03-04-2023,19-04-2023,27-05-2023,4645.55,USD,H,FALSE
15,AP00000015,CO03,2023,1,VEND00952,03-04-2023,10-04-2023,29-05-2023,14000.79,USD,H,FALSE
16,AP00000016,CO03,2023,1,VEND00720,03-04-2023,28-04-2023,18-05-2023,7212.14,USD,H,FALSE
17,AP00000017,CO01,2023,1,VEND00680,03-04-2023,17-04-2023,08-06-2023,6875.43,USD,H,FALSE
18,AP00000018,CO02,2023,1,VEND00165,03-04-2023,26-05-2023,25-05-2023,9675.79,USD,H,FALSE
19,AP00000019,CO02,2023,1,VEND00095,03-04-2023,02-05-2023,26-05-2023,16304.5,USD,H,FALSE
20,AP00000020,CO03,2023,1,VEND00684,03-04-2023,28-04-2023,29-05-2023,752.3,USD,H,FALSE
21,AP00000021,CO01,2023,1,VEND00061,03-04-2023,11-04-2023,02-06-2023,13173.42,USD,H,FALSE
22,AP00000022,CO02,2023,1,VEND00652,03-04-2023,03-05-2023,02-06-2023,15144.96,USD,H,FALSE
23,AP00000023,CO01,2023,1,VEND01430,03-04-2023,09-04-2023,28-05-2023,3413.06,USD,H,FALSE
24,AP00000024,CO02,2023,1,VEND01247,03-04-2023,14-06-2023,04-06-2023,15634.71,USD,H,FALSE
25,AP00000025,CO01,2023,1,VEND01015,03-04-2023,25-04-2023,30-05-2023,10822.09,USD,H,FALSE
26,AP00000026,CO02,2023,1,VEND01075,03-04-2023,24-04-2023,03-06-2023,12314.78,USD,H,FALSE
27,AP00000027,CO02,2023,1,VEND00523,03-04-2023,22-04-2023,28-05-2023,14650.86,USD,H,FALSE
28,AP00000028,CO02,2023,1,VEND00930,03-04-2023,30-04-2023,30-05-2023,11977.97,USD,H,FALSE
29,AP00000029,CO01,2023,1,VEND00799,03-04-2023,13-04-2023,31-05-2023,1193.41,USD,H,FALSE
30,AP00000030,CO01,2023,1,VEND01400,03-04-2023,25-04-2023,28-05-2023,9224.12,USD,H,FALSE
31,AP00000031,CO01,2023,1,VEND00191,03-04-2023,17-04-2023,31-05-2023,5762.86,USD,H,FALSE
32,AP00000032,CO02,2023,1,VEND01495,03-04-2023,26-04-2023,03-06-2023,2158.09,USD,H,FALSE
33,AP00000033,CO03,2023,1,VEND00119,03-04-2023,12-04-2023,02-06-2023,8513.22,USD,H,FALSE
34,AP00000034,CO03,2023,1,VEND00802,03-04-2023,01-05-2023,04-06-2023,18615.96,USD,H,FALSE
35,AP00000035,CO02,2023,1,VEND00927,03-04-2023,08-04-2023,04-06-2023,806.03,USD,H,FALSE
36,AP00000036,CO01,2023,1,VEND00294,04-04-2023,01-05-2023,23-05-2023,7535.52,USD,H,FALSE
37,AP00000037,CO02,2023,1,VEND00336,04-04-2023,22-04-2023,22-05-2023,7364.15,USD,H,FALSE
38,AP00000038,CO03,2023,1,VEND00104,04-04-2023,26-04-2023,31-05-2023,2805.24,USD,H,FALSE
39,AP00000039,CO02,2023,1,VEND00893,04-04-2023,01-05-2023,22-05-2023,11877.51,USD,H,FALSE
40,AP00000040,CO03,2023,1,VEND00502,04-04-2023,11-04-2023,28-05-2023,18755.5,USD,H,FALSE
41,AP00000041,CO02,2023,1,VEND00183,04-04-2023,22-05-2023,20-05-2023,2568.82,USD,H,FALSE
42,AP00000042,CO02,2023,1,VEND00644,04-04-2023,18-04-2023,02-06-2023,4882.25,USD,H,FALSE
43,AP00000043,CO02,2023,1,VEND01393,04-04-2023,29-04-2023,01-06-2023,5857.29,USD,H,FALSE
44,AP00000044,CO02,2023,1,VEND01268,04-04-2023,19-04-2023,31-05-2023,19854.58,USD,H,FALSE
45,AP00000045,CO02,2023,1,VEND00182,04-04-2023,28-04-2023,22-05-2023,11219.47,USD,H,FALSE
46,AP00000046,CO01,2023,1,VEND00071,04-04-2023,16-04-2023,29-05-2023,14496.87,USD,H,FALSE
47,AP00000047,CO01,2023,1,VEND01135,04-04-2023,24-04-2023,26-05-2023,9303.4,USD,H,FALSE
48,AP00000048,CO02,2023,1,VEND00259,04-04-2023,01-06-2023,29-05-2023,12496.67,USD,H,FALSE
49,AP00000049,CO02,2023,1,VEND00927,04-04-2023,06-06-2023,02-06-2023,10855.23,USD,H,FALSE
50,AP00000050,CO03,2023,1,VEND01498,04-04-2023,30-04-2023,28-05-2023,412.18,USD,H,FALSE
51,AP00000051,CO01,2023,1,VEND00848,04-04-2023,09-04-2023,27-05-2023,10010.52,USD,H,FALSE
52,AP00000052,CO03,2023,1,VEND00943,04-04-2023,14-04-2023,02-06-2023,6886.59,USD,H,FALSE
53,AP00000053,CO03,2023,1,VEND01372,04-04-2023,07-06-2023,31-05-2023,526.26,USD,H,FALSE
54,AP00000054,CO01,2023,1,VEND01223,04-04-2023,25-04-2023,23-05-2023,3540.44,USD,H,FALSE
55,AP00000055,CO03,2023,1,VEND00616,04-04-2023,03-05-2023,20-05-2023,9698.43,USD,H,FALSE
56,AP00000056,CO03,2023,1,VEND00120,04-04-2023,01-06-2023,22-05-2023,15565.9,USD,H,FALSE
57,AP00000057,CO02,2023,1,VEND00570,04-04-2023,11-04-2023,07-06-2023,393.89,USD,H,FALSE
58,AP00000058,CO03,2023,1,VEND01046,05-04-2023,17-04-2023,02-06-2023,13640.1,USD,H,FALSE
59,AP00000059,CO01,2023,1,VEND00499,05-04-2023,05-06-2023,29-05-2023,10044.07,USD,H,FALSE
60,AP00000060,CO02,2023,1,VEND00456,05-04-2023,19-04-2023,18-05-2023,12981.9,USD,H,FALSE
61,AP00000061,CO03,2023,1,VEND00546,05-04-2023,25-04-2023,04-06-2023,15108.11,USD,H,FALSE
62,AP00000062,CO02,2023,1,VEND01478,05-04-2023,24-04-2023,22-05-2023,7852.89,USD,H,FALSE
63,AP00000063,CO01,2023,1,VEND01120,05-04-2023,28-04-2023,04-06-2023,17946.7,USD,H,FALSE
