ar_item_id,document_number,company_code,fiscal_year,line_item,customer_number,posting_date,clearing_date,due_date,amount_local,currency,debit_credit_indicator,is_open
1,AR00000001,CO03,2023,1,CUST05532,01-04-2023,22-04-2023,04-05-2023,33534.08,USD,S,FALSE
2,AR00000002,CO02,2023,1,CUST05361,01-04-2023,27-04-2023,19-05-2023,30952.77,USD,S,FALSE
3,AR00000003,CO01,2023,1,CUST01968,01-04-2023,19-04-2023,13-05-2023,13713.61,USD,S,FALSE
4,AR00000004,CO01,2023,1,CUST03927,01-04-2023,09-04-2023,16-05-2023,29500.54,USD,S,FALSE
5,AR00000005,CO03,2023,1,CUST05351,01-04-2023,13-05-2023,10-05-2023,28348.09,USD,S,FALSE
6,AR00000006,CO03,2023,1,CUST03041,01-04-2023,23-04-2023,18-05-2023,37912.09,USD,S,FALSE
7,AR00000007,CO03,2023,1,CUST05785,02-04-2023,09-04-2023,10-05-2023,7202.74,USD,S,FALSE
8,AR00000008,CO02,2023,1,CUST01862,02-04-2023,27-04-2023,15-05-2023,13380.67,USD,S,FALSE
9,AR00000009,CO03,2023,1,CUST00888,02-04-2023,22-04-2023,21-05-2023,18641.39,USD,S,FALSE
10,AR00000010,CO02,2023,1,CUST05413,02-04-2023,27-04-2023,11-05-2023,1480.37,USD,S,FALSE
11,AR00000011,CO01,2023,1,CUST05323,02-04-2023,24-04-2023,14-05-2023,6597.8,USD,S,FALSE
12,AR00000012,CO03,2023,1,CUST05966,02-04-2023,17-04-2023,17-05-2023,10002.64,USD,S,FALSE
13,AR00000013,CO01,2023,1,CUST02032,03-04-2023,27-05-2023,22-05-2023,32236.27,USD,S,FALSE
14,AR00000014,CO03,2023,1,CUST03129,03-04-2023,28-04-2023,21-05-2023,37071.2,USD,S,FALSE
15,AR00000015,CO03,2023,1,CUST04922,03-04-2023,02-05-2023,17-05-2023,28836.51,USD,S,FALSE
16,AR00000016,CO03,2023,1,CUST06346,03-04-2023,08-04-2023,21-05-2023,49703.89,USD,S,FALSE
17,AR00000017,CO03,2023,1,CUST04759,03-04-2023,03-05-2023,16-05-2023,4041.59,USD,S,FALSE
18,AR00000018,CO03,2023,1,CUST05808,03-04-2023,01-05-2023,19-05-2023,31639.87,USD,S,FALSE
19,AR00000019,CO03,2023,1,CUST00898,03-04-2023,16-04-2023,26-05-2023,7205.61,USD,S,FALSE
20,AR00000020,CO01,2023,1,CUST02249,03-04-2023,29-04-2023,21-05-2023,12408.38,USD,S,FALSE
21,AR00000021,CO03,2023,1,CUST01662,03-04-2023,08-04-2023,18-05-2023,32683.29,USD,S,FALSE
22,AR00000022,CO03,2023,1,CUST05049,03-04-2023,02-05-2023,14-05-2023,2014.04,USD,S,FALSE
23,AR00000023,CO01,2023,1,CUST03698,03-04-2023,23-04-2023,13-05-2023,14919.19,USD,S,FALSE
24,AR00000024,CO02,2023,1,CUST05195,03-04-2023,24-04-2023,07-05-2023,47461.52,USD,S,FALSE
25,AR00000025,CO01,2023,1,CUST04511,03-04-2023,29-04-2023,30-05-2023,45259.83,USD,S,FALSE
26,AR00000026,CO02,2023,1,CUST05242,03-04-2023,25-04-2023,14-05-2023,39997.81,USD,S,FALSE
27,AR00000027,CO01,2023,1,CUST02835,03-04-2023,24-04-2023,15-05-2023,41194.42,USD,S,FALSE
28,AR00000028,CO01,2023,1,CUST02458,03-04-2023,29-05-2023,21-05-2023,31918.86,USD,S,FALSE
29,AR00000029,CO01,2023,1,CUST02548,03-04-2023,10-04-2023,13-05-2023,20691.29,USD,S,FALSE
30,AR00000030,CO01,2023,1,CUST02230,03-04-2023,10-04-2023,22-05-2023,41506.7,USD,S,FALSE
31,AR00000031,CO03,2023,1,CUST03871,03-04-2023,20-04-2023,19-05-2023,34573.75,USD,S,FALSE
32,AR00000032,CO02,2023,1,CUST02345,03-04-2023,24-04-2023,13-05-2023,6579.32,USD,S,FALSE
33,AR00000033,CO03,2023,1,CUST01632,03-04-2023,16-04-2023,17-05-2023,9622.97,USD,S,FALSE
34,AR00000034,CO02,2023,1,CUST05034,03-04-2023,28-04-2023,26-05-2023,43172.86,USD,S,FALSE
35,AR00000035,CO01,2023,1,CUST04344,03-04-2023,14-04-2023,18-05-2023,16965.52,USD,S,FALSE
36,AR00000036,CO03,2023,1,CUST01080,03-04-2023,23-05-2023,13-05-2023,7323.08,USD,S,FALSE
37,AR00000037,CO03,2023,1,CUST05071,03-04-2023,27-05-2023,17-05-2023,43140.19,USD,S,FALSE
38,AR00000038,CO03,2023,1,CUST02031,03-04-2023,21-04-2023,15-05-2023,43968.99,USD,S,FALSE
39,AR00000039,CO03,2023,1,CUST05019,03-04-2023,23-04-2023,12-05-2023,24977.04,USD,S,FALSE
40,AR00000040,CO01,2023,1,CUST06593,03-04-2023,,18-05-2023,49654.63,USD,S,TRUE
41,AR00000041,CO01,2023,1,CUST00603,03-04-2023,03-05-2023,15-05-2023,1572.34,USD,S,FALSE
42,AR00000042,CO01,2023,1,CUST06839,04-04-2023,04-05-2023,21-05-2023,49062.74,USD,S,FALSE
43,AR00000043,CO02,2023,1,CUST06489,04-04-2023,01-05-2023,20-05-2023,31995.17,USD,S,FALSE
44,AR00000044,CO01,2023,1,CUST01371,04-04-2023,25-04-2023,21-05-2023,31485.98,USD,S,FALSE
45,AR00000045,CO01,2023,1,CUST06269,04-04-2023,26-04-2023,18-05-2023,25201.96,USD,S,FALSE
46,AR00000046,CO03,2023,1,CUST02040,04-04-2023,13-04-2023,12-05-2023,8177.25,USD,S,FALSE
47,AR00000047,CO02,2023,1,CUST05779,04-04-2023,21-04-2023,20-05-2023,44229.12,USD,S,FALSE
48,AR00000048,CO03,2023,1,CUST01013,04-04-2023,11-04-2023,28-05-2023,25255.3,USD,S,FALSE
49,AR00000049,CO02,2023,1,CUST05115,04-04-2023,20-04-2023,18-05-2023,46350.07,USD,S,FALSE
50,AR00000050,CO03,2023,1,CUST05663,04-04-2023,,26-05-2023,48719.34,USD,S,TRUE
51,AR00000051,CO01,2023,1,CUST03500,04-04-2023,01-05-2023,17-05-2023,18478.03,USD,S,FALSE
52,AR00000052,CO01,2023,1,CUST06371,04-04-2023,11-04-2023,21-05-2023,36007.62,USD,S,FALSE
53,AR00000053,CO01,2023,1,CUST03353,04-04-2023,22-04-2023,21-05-2023,25090.17,USD,S,FALSE
54,AR00000054,CO01,2023,1,CUST00487,04-04-2023,09-06-2023,26-05-2023,40361.01,USD,S,FALSE
55,AR00000055,CO02,2023,1,CUST01513,04-04-2023,29-04-2023,24-05-2023,6323.04,USD,S,FALSE
56,AR00000056,CO01,2023,1,CUST02216,04-04-2023,16-04-2023,10-05-2023,39316.63,USD,S,FALSE
57,AR00000057,CO01,2023,1,CUST02379,04-04-2023,10-04-2023,15-05-2023,22530,USD,S,FALSE
58,AR00000058,CO03,2023,1,CUST03289,04-04-2023,,22-05-2023,48254.2,USD,S,TRUE
59,AR00000059,CO03,2023,1,CUST00490,04-04-2023,12-05-2023,10-05-2023,42072.51,USD,S,FALSE
60,AR00000060,CO03,2023,1,CUST03314,04-04-2023,18-04-2023,18-05-2023,22401.05,USD,S,FALSE
61,AR00000061,CO03,2023,1,CUST01407,04-04-2023,25-05-2023,12-05-2023,14926.45,USD,S,FALSE
62,AR00000062,CO01,2023,1,CUST06209,04-04-2023,29-04-2023,23-05-2023,994.31,USD,S,FALSE
63,AR00000063,CO03,2023,1,CUST04596,04-04-2023,11-04-2023,17-05-2023,12193.65,USD,S,FALSE
64,AR00000064,CO01,2023,1,CUST05483,04-04-2023,24-04-2023,14-05-2023,28899.49,USD,S,FALSE
65,AR00000065,CO02,2023,1,CUST00530,04-04-2023,10-04-2023,26-05-2023,31448.09,USD,S,FALSE
66,AR00000066,CO02,2023,1,CUST06778,04-04-2023,18-04-2023,23-05-2023,30662.79,USD,S,FALSE
67,AR00000067,CO02,2023,1,CUST01167,04-04-2023,25-04-2023,23-05-2023,19768.29,USD,S,FALSE
68,AR00000068,CO03,2023,1,CUST06687,04-04-2023,24-04-2023,12-05-2023,9427.92,USD,S,FALSE
69,AR00000069,CO02,2023,1,CUST06963,04-04-2023,25-04-2023,15-05-2023,49106.37,USD,S,FALSE
70,AR00000070,CO02,2023,1,CUST06113,04-04-2023,06-06-2023,23-05-2023,47421.94,USD,S,FALSE
71,AR00000071,CO03,2023,1,CUST06721,04-04-2023,30-04-2023,21-05-2023,12446.14,USD,S,FALSE
72,AR00000072,CO03,2023,1,CUST02644,04-04-2023,20-04-2023,18-05-2023,4667.16,USD,S,FALSE
73,AR00000073,CO02,2023,1,CUST02586,04-04-2023,19-04-2023,18-05-2023,24808.01,USD,S,FALSE
74,AR00000074,CO01,2023,1,CUST05958,04-04-2023,24-04-2023,25-05-2023,14651.08,USD,S,FALSE
75,AR00000075,CO03,2023,1,CUST05535,05-04-2023,29-04-2023,16-05-2023,8290.59,USD,S,FALSE
76,AR00000076,CO02,2023,1,CUST00456,05-04-2023,10-04-2023,25-05-2023,44652.49,USD,S,FALSE
77,AR00000077,CO02,2023,1,CUST06957,05-04-2023,29-04-2023,22-05-2023,38821.28,USD,S,FALSE
78,AR00000078,CO03,2023,1,CUST06484,05-04-2023,15-04-2023,28-05-2023,31745.54,USD,S,FALSE
79,AR00000079,CO03,2023,1,CUST06285,05-04-2023,16-04-2023,24-05-2023,47521.75,USD,S,FALSE
80,AR00000080,CO02,2023,1,CUST02711,05-04-2023,02-05-2023,17-05-2023,21923.55,USD,S,FALSE
81,AR00000081,CO02,2023,1,CUST00053,05-04-2023,10-04-2023,23-05-2023,26774.86,USD,S,FALSE
82,AR00000082,CO03,2023,1,CUST01578,05-04-2023,25-04-2023,16-05-2023,46769.12,USD,S,FALSE
83,AR00000083,CO01,2023,1,CUST04737,05-04-2023,17-04-2023,28-05-2023,6062.46,USD,S,FALSE
84,AR00000084,CO02,2023,1,CUST01716,05-04-2023,17-04-2023,16-05-2023,44495.37,USD,S,FALSE
85,AR00000085,CO03,2023,1,CUST04725,05-04-2023,25-04-2023,27-05-2023,46788.91,USD,S,FALSE
86,AR00000086,CO02,2023,1,CUST00913,05-04-2023,22-04-2023,24-05-2023,41052.43,USD,S,FALSE
87,AR00000087,CO03,2023,1,CUST03262,05-04-2023,21-04-2023,21-05-2023,31804.36,USD,S,FALSE
88,AR00000088,CO03,2023,1,CUST05217,05-04-2023,,14-05-2023,38260.33,USD,S,TRUE
89,AR00000089,CO02,2023,1,CUST01244,05-04-2023,25-04-2023,12-05-2023,39991.71,USD,S,FALSE
90,AR00000090,CO03,2023,1,CUST06272,05-04-2023,17-04-2023,18-05-2023,22143.33,USD,S,FALSE
91,AR00000091,CO01,2023,1,CUST05103,05-04-2023,14-04-2023,15-05-2023,6473.6,USD,S,FALSE
92,AR00000092,CO03,2023,1,CUST04914,05-04-2023,01-05-2023,20-05-2023,35680.37,USD,S,FALSE
93,AR00000093,CO01,2023,1,CUST02536,05-04-2023,01-05-2023,17-05-2023,4295.06,USD,S,FALSE
94,AR00000094,CO01,2023,1,CUST00995,05-04-2023,22-04-2023,24-05-2023,1514.89,USD,S,FALSE
95,AR00000095,CO02,2023,1,CUST01446,05-04-2023,29-04-2023,22-05-2023,15197.06,USD,S,FALSE
96,AR00000096,CO01,2023,1,CUST02362,05-04-2023,01-05-2023,16-05-2023,39216,USD,S,FALSE
97,AR00000097,CO02,2023,1,CUST02504,05-04-2023,24-04-2023,15-05-2023,11711.91,USD,S,FALSE
98,AR00000098,CO02,2023,1,CUST00268,05-04-2023,15-04-2023,16-05-2023,20487.72,USD,S,FALSE
