asset_movement_id,asset_number,sub_number,company_code,fiscal_year,depreciation_area,posting_date,acquisition_value,ordinary_depreciation_posted,net_book_value,movement_type
1,A00002,0,CO01,2023,1,15-04-2023,0,1226.8,,Depreciation
2,A00003,0,CO03,2023,1,15-04-2023,0,888.91,,Depreciation
3,A00006,0,CO02,2023,1,15-04-2023,0,2552.2,,Depreciation
4,A00008,0,CO02,2023,1,15-04-2023,0,4727.79,,Depreciation
5,A00009,0,CO01,2023,1,15-04-2023,0,1704.42,,Depreciation
6,A00010,0,CO03,2023,1,15-04-2023,0,3146.49,,Depreciation
7,A00011,0,CO01,2023,1,15-04-2023,0,1844.43,,Depreciation
8,A00012,0,CO02,2023,1,15-04-2023,0,903.72,,Depreciation
9,A00017,0,CO01,2023,1,15-04-2023,0,2845.84,,Depreciation
10,A00019,0,CO02,2023,1,15-04-2023,0,712.45,,Depreciation
11,A00021,0,CO02,2023,1,15-04-2023,0,2674.91,,Depreciation
12,A00024,0,CO01,2023,1,15-04-2023,0,580.45,,Depreciation
13,A00026,0,CO01,2023,1,15-04-2023,0,2532.8,,Depreciation
14,A00027,0,CO03,2023,1,15-04-2023,0,4265.79,,Depreciation
15,A00030,0,CO02,2023,1,15-04-2023,0,2770.92,,Depreciation
16,A00032,0,CO02,2023,1,15-04-2023,0,4898.9,,Depreciation
17,A00033,0,CO03,2023,1,15-04-2023,0,748.62,,Depreciation
18,A00034,0,CO02,2023,1,15-04-2023,0,3633.28,,Depreciation
19,A00035,0,CO02,2023,1,15-04-2023,0,631.63,,Depreciation
20,A00036,0,CO03,2023,1,15-04-2023,0,4659.03,,Depreciation
21,A00039,0,CO02,2023,1,15-04-2023,0,1300.86,,Depreciation
22,A00044,0,CO03,2023,1,15-04-2023,0,4599.19,,Depreciation
23,A00047,0,CO01,2023,1,15-04-2023,0,783.18,,Depreciation
24,A00051,0,CO02,2023,1,15-04-2023,0,2081.6,,Depreciation
25,A00052,0,CO03,2023,1,15-04-2023,0,314.7,,Depreciation
26,A00053,0,CO01,2023,1,15-04-2023,0,670.76,,Depreciation
27,A00054,0,CO03,2023,1,15-04-2023,0,2188.26,,Depreciation
28,A00060,0,CO01,2023,1,15-04-2023,0,598.21,,Depreciation
29,A00061,0,CO02,2023,1,15-04-2023,0,1024.15,,Depreciation
30,A00062,0,CO02,2023,1,15-04-2023,0,1869.68,,Depreciation
31,A00063,0,CO03,2023,1,15-04-2023,0,3901.52,,Depreciation
32,A00064,0,CO02,2023,1,15-04-2023,0,4394.18,,Depreciation
33,A00065,0,CO01,2023,1,15-04-2023,0,4122.34,,Depreciation
34,A00067,0,CO03,2023,1,15-04-2023,0,2738.33,,Depreciation
35,A00068,0,CO02,2023,1,15-04-2023,0,1260.89,,Depreciation
36,A00069,0,CO02,2023,1,15-04-2023,0,4895.35,,Depreciation
37,A00070,0,CO01,2023,1,15-04-2023,0,4324.28,,Depreciation
38,A00071,0,CO03,2023,1,15-04-2023,0,4855.27,,Depreciation
39,A00072,0,CO02,2023,1,15-04-2023,0,2627.35,,Depreciation
40,A00073,0,CO02,2023,1,15-04-2023,0,3954.14,,Depreciation
41,A00074,0,CO03,2023,1,15-04-2023,0,3030.98,,Depreciation
42,A00075,0,CO02,2023,1,15-04-2023,0,4902.99,,Depreciation
43,A00078,0,CO03,2023,1,15-04-2023,0,1104.08,,Depreciation
44,A00079,0,CO01,2023,1,15-04-2023,0,3194.11,,Depreciation
45,A00082,0,CO01,2023,1,15-04-2023,0,4433.47,,Depreciation
46,A00084,0,CO03,2023,1,15-04-2023,0,443.64,,Depreciation
47,A00085,0,CO02,2023,1,15-04-2023,0,4338.28,,Depreciation
48,A00087,0,CO03,2023,1,15-04-2023,0,4359.17,,Depreciation
49,A00089,0,CO01,2023,1,15-04-2023,0,3359.7,,Depreciation
50,A00090,0,CO02,2023,1,15-04-2023,0,2177.37,,Depreciation
51,A00091,0,CO03,2023,1,15-04-2023,0,2075.98,,Depreciation
52,A00092,0,CO01,2023,1,15-04-2023,0,176.53,,Depreciation
53,A00093,0,CO03,2023,1,15-04-2023,0,185.28,,Depreciation
54,A00094,0,CO01,2023,1,15-04-2023,0,2385.79,,Depreciation
55,A00097,0,CO03,2023,1,15-04-2023,0,4457.92,,Depreciation
56,A00098,0,CO03,2023,1,15-04-2023,0,2807.36,,Depreciation
57,A00100,0,CO01,2023,1,15-04-2023,0,2688.05,,Depreciation
58,A00102,0,CO02,2023,1,15-04-2023,0,4816.85,,Depreciation
