customer_id,customer_name,customer_tier,payment_terms
CUST-00001,Kramer-Brooks,C,NET45
CUST-00002,Lowe-Roach,B,NET30
CUST-00003,Herman-Adams,B,NET30
CUST-00004,Wright-Pope,C,NET30
CUST-00005,Smith Inc,A,NET30
CUST-00006,Guerrero Group,A,NET30
CUST-00007,Foster-Wilson,B,NET30
CUST-00008,Brown Ltd,C,NET30
CUST-00009,"Moon, Rogers and Martinez",C,NET30
CUST-00010,Castro Ltd,C,NET30
CUST-00011,Bailey Ltd,A,NET30
CUST-00012,"Campos, Rivera and Taylor",C,NET45
CUST-00013,"Brennan, Cook and Franco",C,NET30
CUST-00014,Neal-Morrow,B,NET30
CUST-00015,"Smith, Anderson and Martinez",A,NET60
CUST-00016,Montgomery-Moore,C,NET30
CUST-00017,Castillo-Mooney,A,NET30
CUST-00018,Lang-Lopez,C,NET30
CUST-00019,Jones LLC,A,NET30
CUST-00020,Brown PLC,A,NET60
CUST-00021,"Rice, Hendricks and Cannon",B,NET45
CUST-00022,Grimes Ltd,A,NET60
CUST-00023,"Wright, Taylor and Howard",C,NET30
CUST-00024,Rodriguez-Dunlap,C,NET30
CUST-00025,Cohen-Miles,C,NET30
CUST-00026,Leonard-Miles,B,NET30
CUST-00027,Schmitt-Sutton,B,NET45
CUST-00028,"Myers, Harding and Vaughn",B,NET60
CUST-00029,"Ellis, Thompson and Brown",A,NET45
CUST-00030,"Johnson, Hernandez and Lopez",C,NET60
CUST-00031,Myers-Lopez,C,NET30
CUST-00032,Herrera Group,A,NET30
CUST-00033,Santos Group,B,NET30
CUST-00034,Washington LLC,B,NET30
CUST-00035,Robinson-Nelson,B,NET30
CUST-00036,Wagner-Kaufman,C,NET30
CUST-00037,Sweeney-Mejia,C,NET30
CUST-00038,"Carter, Eaton and Brown",A,NET30
CUST-00039,"Castillo, Wright and Coleman",A,NET45
CUST-00040,Reid Ltd,A,NET45
CUST-00041,Weber Ltd,B,NET30
CUST-00042,Harmon-Flores,A,NET30
CUST-00043,Johnson Inc,C,NET45
CUST-00044,Ayala-Pearson,B,NET30
CUST-00045,"Morales, Dudley and Morris",B,NET30
CUST-00046,"White, Arnold and Phillips",B,NET45
CUST-00047,Giles-Powell,C,NET30
CUST-00048,Fitzpatrick-Martinez,A,NET30
CUST-00049,"Guzman, Snow and Bright",C,NET30
CUST-00050,Lewis-Crosby,A,NET30
CUST-00051,Good-Martinez,C,NET30
CUST-00052,"Davila, Payne and Campbell",B,NET30
CUST-00053,"Cook, Perkins and Jones",B,NET60
CUST-00054,"Lewis, Scott and Spencer",B,NET60
CUST-00055,Parker and Sons,B,NET45
CUST-00056,Sanchez Ltd,B,NET30
