delivery_id,delivery_item,material_id,plant_id,delivery_quantity,delivery_status,delivery_date,sales_order,sales_order_item,fiscal_period
DL202301020000007736,1,MAT-00987,4,11,B,05-01-2023,OR202301020000003455,1,1
DL202301020000006987,2,MAT-01320,2,48,A,04-01-2023,OR202301020000003455,2,1
DL202301020000009205,3,MAT-01070,4,19,B,05-01-2023,OR202301020000003455,3,1
DL202301020000009735,1,MAT-00371,3,1,A,05-01-2023,OR202301020000006426,1,1
DL202301020000002541,2,MAT-00623,2,15,A,04-01-2023,OR202301020000006426,2,1
DL202301020000001985,3,MAT-01385,2,33,A,03-01-2023,OR202301020000006426,3,1
DL202301020000009772,4,MAT-01352,2,18,A,05-01-2023,OR202301020000006426,4,1
DL202301020000006515,1,MAT-01007,3,15,A,03-01-2023,OR202301020000007603,1,1
DL202301020000008942,2,MAT-00224,3,1,B,03-01-2023,OR202301020000007603,2,1
DL202301020000001781,3,MAT-01392,5,35,A,04-01-2023,OR202301020000007603,3,1
DL202301020000001581,4,MAT-00377,2,10,A,03-01-2023,OR202301020000007603,4,1
DL202301020000006059,1,MAT-00035,5,4,A,03-01-2023,OR202301020000004879,1,1
DL202301020000006932,2,MAT-00304,3,36,B,04-01-2023,OR202301020000004879,2,1
DL202301020000001120,3,MAT-01285,4,38,A,03-01-2023,OR202301020000004879,3,1
DL202301020000005380,4,MAT-01348,2,5,B,05-01-2023,OR202301020000004879,4,1
DL202301020000006206,1,MAT-00207,4,1,A,05-01-2023,OR202301020000002985,1,1
DL202301020000007260,1,MAT-00835,2,17,A,04-01-2023,OR202301020000005577,1,1
DL202301020000003787,2,MAT-00254,1,33,A,04-01-2023,OR202301020000005577,2,1
DL202301020000001417,3,MAT-01182,2,24,A,03-01-2023,OR202301020000005577,3,1
DL202301020000002983,4,MAT-00324,2,0,C,03-01-2023,OR202301020000005577,4,1
DL202301020000009851,5,MAT-01184,5,41,A,04-01-2023,OR202301020000005577,5,1
DL202301020000002636,1,MAT-00650,2,3,A,05-01-2023,OR202301020000005638,1,1
DL202301020000002382,2,MAT-00804,1,6,A,05-01-2023,OR202301020000005638,2,1
DL202301020000001001,3,MAT-01398,2,0,C,04-01-2023,OR202301020000005638,3,1
DL202301020000003934,4,MAT-00982,5,33,A,05-01-2023,OR202301020000005638,4,1
DL202301020000005991,1,MAT-01458,1,42,A,05-01-2023,OR202301020000005805,1,1
DL202301020000009803,2,MAT-01170,5,26,B,03-01-2023,OR202301020000005805,2,1
DL202301020000002680,3,MAT-00045,2,43,A,03-01-2023,OR202301020000005805,3,1
DL202301020000002797,1,MAT-00107,4,6,A,03-01-2023,OR202301020000004424,1,1
DL202301020000006700,2,MAT-00281,5,2,A,04-01-2023,OR202301020000004424,2,1
DL202301020000003890,3,MAT-01262,1,36,A,05-01-2023,OR202301020000004424,3,1
DL202301020000004351,4,MAT-00754,4,10,A,05-01-2023,OR202301020000004424,4,1
DL202301020000008607,1,MAT-00776,3,23,A,05-01-2023,OR202301020000007115,1,1
DL202301020000005440,1,MAT-00951,2,40,A,05-01-2023,OR202301020000007973,1,1
DL202301020000004311,1,MAT-00923,5,9,A,03-01-2023,OR202301020000004740,1,1
DL202301020000001712,2,MAT-01291,3,38,A,04-01-2023,OR202301020000004740,2,1
DL202301020000009979,3,MAT-00812,1,36,A,05-01-2023,OR202301020000004740,3,1
DL202301020000003235,1,MAT-00125,2,46,A,05-01-2023,OR202301020000008158,1,1
DL202301020000003318,2,MAT-00592,3,3,A,04-01-2023,OR202301020000008158,2,1
DL202301020000001995,3,MAT-01065,4,43,A,03-01-2023,OR202301020000008158,3,1
DL202301020000005290,4,MAT-00340,2,22,A,05-01-2023,OR202301020000008158,4,1
DL202301020000009903,5,MAT-00835,1,1,A,03-01-2023,OR202301020000008158,5,1
DL202301020000008119,1,MAT-00073,4,22,A,04-01-2023,OR202301020000009999,1,1
DL202301020000003789,2,MAT-00991,1,10,A,04-01-2023,OR202301020000009999,2,1
DL202301020000006887,3,MAT-00643,1,16,A,03-01-2023,OR202301020000009999,3,1
DL202301020000008433,1,MAT-01305,5,9,A,05-01-2023,OR202301020000005878,1,1
DL202301020000003502,1,MAT-00103,2,33,A,03-01-2023,OR202301020000004430,1,1
DL202301020000005230,1,MAT-01073,5,0,C,04-01-2023,OR202301020000007555,1,1
DL202301020000006840,2,MAT-00698,1,28,B,05-01-2023,OR202301020000007555,2,1
DL202301020000004992,3,MAT-01196,1,31,A,05-01-2023,OR202301020000007555,3,1
DL202301020000001286,1,MAT-01500,5,9,A,05-01-2023,OR202301020000005113,1,1
DL202301020000003991,2,MAT-00749,3,3,B,05-01-2023,OR202301020000005113,2,1
DL202301020000005667,3,MAT-00928,1,45,A,05-01-2023,OR202301020000005113,3,1
DL202301020000006489,1,MAT-00289,2,40,A,05-01-2023,OR202301020000003152,1,1
DL202301020000007722,2,MAT-00319,3,0,C,05-01-2023,OR202301020000003152,2,1
DL202301020000006255,3,MAT-00008,2,18,A,05-01-2023,OR202301020000003152,3,1
DL202301020000007223,4,MAT-00623,5,29,A,05-01-2023,OR202301020000003152,4,1
DL202301020000003760,5,MAT-00404,4,35,A,05-01-2023,OR202301020000003152,5,1
DL202301020000002969,1,MAT-00713,2,7,A,05-01-2023,OR202301020000001219,1,1
DL202301020000002368,2,MAT-00327,4,0,C,04-01-2023,OR202301020000001219,2,1
DL202301020000007979,3,MAT-00757,4,24,A,03-01-2023,OR202301020000001219,3,1
DL202301020000001664,4,MAT-01391,3,13,A,03-01-2023,OR202301020000001219,4,1
DL202301020000006982,5,MAT-00027,3,30,A,04-01-2023,OR202301020000001219,5,1
DL202301020000006573,1,MAT-01491,4,0,C,05-01-2023,OR202301020000005681,1,1
DL202301020000007276,2,MAT-01414,2,33,A,03-01-2023,OR202301020000005681,2,1
DL202301020000007439,3,MAT-00537,4,45,A,03-01-2023,OR202301020000005681,3,1
DL202301020000004483,1,MAT-00824,4,20,A,03-01-2023,OR202301020000007818,1,1
DL202301020000002897,2,MAT-01042,3,26,A,03-01-2023,OR202301020000007818,2,1
DL202301020000004694,3,MAT-00838,5,30,A,05-01-2023,OR202301020000007818,3,1
DL202301020000003820,1,MAT-00581,3,13,A,05-01-2023,OR202301020000007662,1,1
DL202301020000004378,2,MAT-00852,3,12,A,04-01-2023,OR202301020000007662,2,1
DL202301020000005051,1,MAT-01024,1,48,A,04-01-2023,OR202301020000008274,1,1
DL202301020000008829,2,MAT-00109,1,14,B,04-01-2023,OR202301020000008274,2,1
DL202301020000006485,3,MAT-00440,3,19,A,03-01-2023,OR202301020000008274,3,1
DL202301020000009849,1,MAT-00634,3,40,A,05-01-2023,OR202301020000009972,1,1
DL202301020000005940,2,MAT-00224,4,25,B,05-01-2023,OR202301020000009972,2,1
DL202301020000008402,3,MAT-01072,1,0,C,04-01-2023,OR202301020000009972,3,1
DL202301020000007157,4,MAT-00879,3,2,A,03-01-2023,OR202301020000009972,4,1
DL202301030000007509,1,MAT-01113,2,44,A,06-01-2023,OR202301030000002419,1,1
DL202301030000006964,2,MAT-01266,3,0,C,05-01-2023,OR202301030000002419,2,1
DL202301030000004183,3,MAT-00178,5,5,A,04-01-2023,OR202301030000002419,3,1
DL202301030000001463,4,MAT-00735,4,34,A,05-01-2023,OR202301030000002419,4,1
DL202301030000007648,5,MAT-00201,3,25,A,06-01-2023,OR202301030000002419,5,1
DL202301030000004175,1,MAT-00672,2,19,A,06-01-2023,OR202301030000004296,1,1
DL202301030000009437,2,MAT-00596,1,33,A,06-01-2023,OR202301030000004296,2,1
DL202301030000008942,3,MAT-00537,4,44,A,05-01-2023,OR202301030000004296,3,1
DL202301030000004994,4,MAT-00347,1,20,A,06-01-2023,OR202301030000004296,4,1
DL202301030000004767,1,MAT-00292,5,30,A,05-01-2023,OR202301030000004530,1,1
DL202301030000009870,2,MAT-01406,3,18,A,06-01-2023,OR202301030000004530,2,1
DL202301030000003044,3,MAT-00897,3,13,A,06-01-2023,OR202301030000004530,3,1
DL202301030000005542,4,MAT-00271,3,26,A,06-01-2023,OR202301030000004530,4,1
DL202301030000007583,5,MAT-00350,5,19,A,05-01-2023,OR202301030000004530,5,1
DL202301030000004201,1,MAT-00284,1,27,B,05-01-2023,OR202301030000004510,1,1
DL202301030000004970,2,MAT-00469,4,0,C,04-01-2023,OR202301030000004510,2,1
DL202301030000005094,3,MAT-01147,2,23,A,05-01-2023,OR202301030000004510,3,1
DL202301030000004971,1,MAT-00675,1,44,A,05-01-2023,OR202301030000008330,1,1
DL202301030000004017,1,MAT-00412,2,47,A,04-01-2023,OR202301030000008019,1,1
DL202301030000002448,2,MAT-00491,2,0,C,04-01-2023,OR202301030000008019,2,1
DL202301030000003109,3,MAT-00661,1,32,A,04-01-2023,OR202301030000008019,3,1
DL202301030000009695,4,MAT-00006,4,25,A,06-01-2023,OR202301030000008019,4,1
DL202301030000005133,5,MAT-00920,5,3,A,05-01-2023,OR202301030000008019,5,1
DL202301030000001911,1,MAT-00964,1,26,A,05-01-2023,OR202301030000006363,1,1
DL202301030000004732,1,MAT-00894,5,30,A,06-01-2023,OR202301030000007318,1,1
DL202301030000009074,2,MAT-00569,2,0,C,04-01-2023,OR202301030000007318,2,1
DL202301030000006942,3,MAT-01436,4,44,A,06-01-2023,OR202301030000007318,3,1
DL202301030000002328,4,MAT-00504,2,25,A,04-01-2023,OR202301030000007318,4,1
DL202301030000003946,5,MAT-01404,2,11,A,04-01-2023,OR202301030000007318,5,1
DL202301030000001643,1,MAT-01032,4,19,A,06-01-2023,OR202301030000007538,1,1
DL202301030000004395,2,MAT-00087,5,13,A,06-01-2023,OR202301030000007538,2,1
DL202301030000009638,1,MAT-01040,2,47,A,06-01-2023,OR202301030000003096,1,1
DL202301030000002633,2,MAT-00598,2,36,A,06-01-2023,OR202301030000003096,2,1
DL202301030000003621,3,MAT-01474,5,36,A,04-01-2023,OR202301030000003096,3,1
DL202301030000006671,4,MAT-01297,2,25,A,06-01-2023,OR202301030000003096,4,1
DL202301030000009699,1,MAT-00989,4,13,B,04-01-2023,OR202301030000004179,1,1
DL202301030000008730,2,MAT-00054,1,48,A,04-01-2023,OR202301030000004179,2,1
DL202301030000004804,3,MAT-01012,4,9,B,06-01-2023,OR202301030000004179,3,1
DL202301030000008388,4,MAT-01075,1,24,B,04-01-2023,OR202301030000004179,4,1
DL202301030000009386,1,MAT-01143,2,16,A,06-01-2023,OR202301030000006522,1,1
DL202301030000004824,2,MAT-00200,2,4,A,06-01-2023,OR202301030000006522,2,1
DL202301030000005325,3,MAT-01406,3,19,B,06-01-2023,OR202301030000006522,3,1
DL202301030000009776,1,MAT-01068,1,4,B,04-01-2023,OR202301030000009373,1,1
DL202301030000006909,1,MAT-01351,2,46,A,05-01-2023,OR202301030000007022,1,1
DL202301030000003971,2,MAT-00060,1,49,A,05-01-2023,OR202301030000007022,2,1
DL202301030000006497,3,MAT-00491,5,0,C,05-01-2023,OR202301030000007022,3,1
DL202301030000004228,4,MAT-01288,5,20,B,06-01-2023,OR202301030000007022,4,1
