material_id,plant_id,storage_location,unrestricted_stock,quality_insp,blocked_stock,safety_stock,last_count_date
MAT-00001,1,WH02,1178,41,0,108,
MAT-00001,1,A001,846.5,1,0,115,
MAT-00001,2,A001,1163,6,0,159,
MAT-00001,2,C001,414,2,0,55,
MAT-00001,3,A001,1047,13,0,140,
MAT-00001,3,B001,537,19,0,72,
MAT-00001,4,WH02,852,27,0,114,
MAT-00001,4,A001,1062.5,30,0,143,
MAT-00001,5,B001,1154.5,11,0,98,
MAT-00001,5,A001,1267.5,4,0,169,
MAT-00002,1,WH02,1464,15,0,160,
MAT-00002,1,B001,1309.5,43,0,175,
MAT-00002,2,B001,1287,38,0,172,
MAT-00002,2,A001,391.5,36,0,52,
MAT-00002,3,WH01,322.5,0,0,43,
MAT-00002,3,B001,1426,21,0,194,
MAT-00002,4,B001,886.5,5,0,118,
MAT-00002,4,A001,375.5,11,0,53,
MAT-00002,5,WH01,1479,3,0,197,
MAT-00002,5,A001,1008,8,0,134,
MAT-00003,1,B001,1429,29,0,154,
MAT-00003,1,WH02,832.5,47,0,111,
MAT-00003,2,C001,1235,49,0,113,
MAT-00003,2,B001,232.5,20,0,31,
MAT-00003,3,C001,890,47,0,120,
MAT-00003,3,WH02,981,34,0,131,
MAT-00003,4,WH01,990,9,0,132,
MAT-00003,4,B001,204.5,25,0,33,
MAT-00003,5,B001,600,44,0,52,
MAT-00003,5,WH02,1164,33,0,155,
MAT-00004,1,A001,397.5,26,0,54,
MAT-00004,1,WH02,1035,35,0,138,
MAT-00004,2,A001,531,26,0,73,
MAT-00004,2,C001,1202,26,0,164,
MAT-00004,3,C001,345,47,0,48,
MAT-00004,3,WH02,537.5,31,0,75,
MAT-00004,4,WH01,1446,36,0,193,
MAT-00004,4,A001,756,44,0,105,
MAT-00004,5,A001,1481,16,0,190,
MAT-00004,5,WH01,825,9,0,110,
MAT-00005,1,C001,421.5,23,0,56,
MAT-00005,1,WH02,810,13,0,114,
MAT-00005,2,WH01,1144.5,16,0,162,
MAT-00005,2,WH02,836,31,0,116,
MAT-00005,3,WH02,143,28,0,23,
MAT-00005,3,C001,288.5,44,0,21,
MAT-00005,4,WH02,789,20,0,105,
MAT-00005,4,C001,1271,29,0,118,
MAT-00005,5,WH01,789,5,0,109,
MAT-00005,5,A001,357.5,39,0,49,
MAT-00006,1,WH02,384,34,0,51,
MAT-00006,1,WH01,784.5,9,0,83,
MAT-00006,2,WH01,1371,38,0,183,
MAT-00006,2,A001,606.5,32,0,48,
MAT-00006,3,B001,1113.5,46,0,161,
MAT-00006,3,WH01,258,45,0,34,
MAT-00006,4,WH01,316,28,0,44,
MAT-00006,4,C001,190.5,0,0,25,
MAT-00006,5,C001,1447,31,0,197,
MAT-00006,5,B001,136,41,0,35,
MAT-00007,1,WH02,153,21,0,27,
MAT-00007,1,WH01,715,46,0,99,
MAT-00007,2,WH01,1369.5,12,0,183,
MAT-00007,2,A001,238,44,0,35,
MAT-00007,3,WH01,1037,30,0,82,
MAT-00007,3,WH02,1482,36,0,198,
MAT-00007,4,C001,315.5,29,0,49,
MAT-00007,4,A001,1044,33,0,139,
MAT-00007,5,B001,392,48,0,56,
MAT-00007,5,A001,1268,16,0,176,
MAT-00008,1,B001,466.5,23,0,69,
MAT-00008,1,C001,1182,43,0,158,
MAT-00008,2,C001,1437,25,0,192,
MAT-00008,2,A001,1347,1,0,182,
MAT-00008,3,A001,1081.5,35,0,146,
MAT-00008,3,WH02,1195.5,16,0,159,
MAT-00008,4,WH02,1101,28,0,127,
MAT-00008,4,A001,137,44,0,20,
MAT-00008,5,A001,69.5,44,0,20,
MAT-00008,5,WH01,870,49,0,125,
MAT-00009,1,WH01,1442.5,6,0,199,
MAT-00009,1,WH02,700.5,10,0,95,
MAT-00009,2,A001,825,41,0,116,
MAT-00009,2,WH01,307.5,46,0,41,
MAT-00009,3,A001,1381,18,0,189,
MAT-00009,3,WH01,211.5,18,0,32,
MAT-00009,4,B001,801,35,0,107,
MAT-00009,4,WH02,1038,23,0,138,
MAT-00009,5,WH01,844.5,44,0,113,
