material_id,plant_id,valuation_area,standard_price,moving_avg_price,price_unit,currency
MAT-00001,1,1000,295.54,280.97,1,USD
MAT-00001,2,1000,353.89,356.78,1,USD
MAT-00001,3,1000,190.38,197.97,1,USD
MAT-00001,4,1000,90.45,87.85,1,USD
MAT-00001,5,1000,272.75,284.07,1,USD
MAT-00002,1,1000,374.68,366.49,1,USD
MAT-00002,2,1000,282.57,282.88,1,USD
MAT-00002,3,1000,88.33,85.69,1,USD
MAT-00002,4,1000,307.73,302.64,1,USD
MAT-00002,5,1000,170.26,166.18,1,USD
MAT-00003,1,1000,68.39,66.92,1,USD
MAT-00003,2,1000,24.12,24.37,1,USD
MAT-00003,3,1000,329.19,329.58,1,USD
MAT-00003,4,1000,208.79,202.21,1,USD
MAT-00003,5,1000,30.41,31.34,1,USD
MAT-00004,1,1000,373.98,387.98,1,USD
MAT-00004,2,1000,108.07,108.83,1,USD
MAT-00004,3,1000,376.16,388.68,1,USD
MAT-00004,4,1000,340.36,353.52,1,USD
MAT-00004,5,1000,410.75,405.04,1,USD
MAT-00005,1,1000,36.64,37.1,1,USD
MAT-00005,2,1000,287.75,298.81,1,USD
MAT-00005,3,1000,133.64,133.79,1,USD
MAT-00005,4,1000,161.85,157.26,1,USD
MAT-00005,5,1000,98.65,97.01,1,USD
MAT-00006,1,1000,254.8,260.4,1,USD
MAT-00006,2,1000,362.78,361.25,1,USD
MAT-00006,3,1000,201.47,206.58,1,USD
MAT-00006,4,1000,461.2,460.29,1,USD
MAT-00006,5,1000,302.4,311.32,1,USD
MAT-00007,1,1000,336.84,351.59,1,USD
MAT-00007,2,1000,48.06,46.17,1,USD
MAT-00007,3,1000,10.13,9.66,1,USD
MAT-00007,4,1000,34.51,32.82,1,USD
MAT-00007,5,1000,144.37,137.15,1,USD
MAT-00008,1,1000,228.08,233.3,1,USD
MAT-00008,2,1000,480.99,461.62,1,USD
MAT-00008,3,1000,190.34,193.11,1,USD
MAT-00008,4,1000,485.76,497.51,1,USD
MAT-00008,5,1000,192.68,188.44,1,USD
MAT-00009,1,1000,330.28,323.59,1,USD
MAT-00009,2,1000,27.15,26.12,1,USD
MAT-00009,3,1000,79.5,79.16,1,USD
MAT-00009,4,1000,466.8,489.36,1,USD
MAT-00009,5,1000,458.14,440.75,1,USD
MAT-00010,1,1000,321.99,336.56,1,USD
MAT-00010,2,1000,398.45,413.6,1,USD
MAT-00010,3,1000,466.7,451.51,1,USD
MAT-00010,4,1000,65.17,66.64,1,USD
MAT-00010,5,1000,233.07,242.08,1,USD
MAT-00011,1,1000,350.51,342.56,1,USD
MAT-00011,2,1000,21.05,21.18,1,USD
MAT-00011,3,1000,41.01,41.8,1,USD
MAT-00011,4,1000,115.58,114.4,1,USD
MAT-00011,5,1000,194.94,185.92,1,USD
MAT-00012,1,1000,221.92,221.16,1,USD
MAT-00012,2,1000,95.76,91.1,1,USD
MAT-00012,3,1000,449.73,456.77,1,USD
MAT-00012,4,1000,480.12,498.19,1,USD
MAT-00012,5,1000,357.85,365.68,1,USD
MAT-00013,1,1000,109.32,106.78,1,USD
MAT-00013,2,1000,338.91,354.61,1,USD
MAT-00013,3,1000,102.15,104.09,1,USD
MAT-00013,4,1000,407.07,427.25,1,USD
MAT-00013,5,1000,31.62,31.82,1,USD
MAT-00014,1,1000,429.93,432.46,1,USD
MAT-00014,2,1000,354.44,364.79,1,USD
MAT-00014,3,1000,360.63,369.38,1,USD
MAT-00014,4,1000,150.39,144.2,1,USD
MAT-00014,5,1000,189.98,196.07,1,USD
MAT-00015,1,1000,276.85,273.34,1,USD
MAT-00015,2,1000,451.89,462.11,1,USD
MAT-00015,3,1000,274.98,270.05,1,USD
MAT-00015,4,1000,323.26,320.25,1,USD
MAT-00015,5,1000,294.3,290.54,1,USD
MAT-00016,1,1000,491.92,505.07,1,USD
MAT-00016,2,1000,82.34,83.76,1,USD
MAT-00016,3,1000,445.82,453.65,1,USD
MAT-00016,4,1000,209.83,219.51,1,USD
MAT-00016,5,1000,52.36,51.07,1,USD
MAT-00017,1,1000,77.44,80.73,1,USD
MAT-00017,2,1000,326.28,324.67,1,USD
MAT-00017,3,1000,274.21,279.16,1,USD
MAT-00017,4,1000,445.97,438.99,1,USD
MAT-00017,5,1000,459.97,482.17,1,USD
MAT-00018,1,1000,81.07,79.79,1,USD
MAT-00018,2,1000,320.02,327.85,1,USD
MAT-00018,3,1000,427.04,430.19,1,USD
MAT-00018,4,1000,488.84,503.13,1,USD
MAT-00018,5,1000,414.1,409.81,1,USD
MAT-00019,1,1000,413.49,429.23,1,USD
MAT-00019,2,1000,495.35,497.53,1,USD
MAT-00019,3,1000,264.59,266.59,1,USD
MAT-00019,4,1000,134.81,135.49,1,USD
MAT-00019,5,1000,471.72,483.03,1,USD
MAT-00020,1,1000,345.17,355.1,1,USD
MAT-00020,2,1000,249.7,245.34,1,USD
MAT-00020,3,1000,419.87,414.55,1,USD
MAT-00020,4,1000,469.09,470.17,1,USD
MAT-00020,5,1000,411.49,399.93,1,USD
MAT-00021,1,1000,182.06,180.39,1,USD
MAT-00021,2,1000,378.27,363.38,1,USD
MAT-00021,3,1000,323.83,322.33,1,USD
MAT-00021,4,1000,418.83,435.38,1,USD
MAT-00021,5,1000,102.28,97.17,1,USD
MAT-00022,1,1000,398.86,399.04,1,USD
MAT-00022,2,1000,62.82,60.59,1,USD
MAT-00022,3,1000,45.38,47.42,1,USD
MAT-00022,4,1000,128.5,127.29,1,USD
MAT-00022,5,1000,414.36,416.1,1,USD
MAT-00023,1,1000,57.33,59.13,1,USD
MAT-00023,2,1000,21.52,20.51,1,USD
MAT-00023,3,1000,69.33,67.15,1,USD
MAT-00023,4,1000,390.27,373.54,1,USD
MAT-00023,5,1000,134.18,140.23,1,USD
MAT-00024,1,1000,216.74,213.65,1,USD
MAT-00024,2,1000,207.47,211.57,1,USD
MAT-00024,3,1000,157.11,155.35,1,USD
MAT-00024,4,1000,112.14,111.34,1,USD
MAT-00024,5,1000,298.95,298.31,1,USD
MAT-00025,1,1000,311.25,296.99,1,USD
MAT-00025,2,1000,250.75,239.0,1,USD
MAT-00025,3,1000,166.62,158.81,1,USD
MAT-00025,4,1000,353.31,366.07,1,USD
MAT-00025,5,1000,198.04,198.81,1,USD
MAT-00026,1,1000,58.02,59.11,1,USD
MAT-00026,2,1000,313.91,309.23,1,USD
MAT-00026,3,1000,485.97,485.5,1,USD
MAT-00026,4,1000,23.39,22.31,1,USD
MAT-00026,5,1000,248.85,258.95,1,USD
MAT-00027,1,1000,242.69,243.75,1,USD
MAT-00027,2,1000,50.65,51.79,1,USD
MAT-00027,3,1000,360.65,375.88,1,USD
MAT-00027,4,1000,232.8,238.6,1,USD
MAT-00027,5,1000,128.28,134.49,1,USD
MAT-00028,1,1000,26.83,26.32,1,USD
MAT-00028,2,1000,390.81,404.67,1,USD
MAT-00028,3,1000,116.11,115.07,1,USD
MAT-00028,4,1000,15.04,14.48,1,USD
MAT-00028,5,1000,432.73,444.88,1,USD
MAT-00029,1,1000,468.41,465.81,1,USD
MAT-00029,2,1000,256.02,255.08,1,USD
MAT-00029,3,1000,351.59,347.66,1,USD
MAT-00029,4,1000,463.24,470.36,1,USD
MAT-00029,5,1000,33.87,34.16,1,USD
MAT-00030,1,1000,352.13,351.82,1,USD
MAT-00030,2,1000,452.11,442.77,1,USD
MAT-00030,3,1000,89.75,87.87,1,USD
MAT-00030,4,1000,172.39,165.66,1,USD
MAT-00030,5,1000,85.85,88.75,1,USD
MAT-00031,1,1000,107.57,107.42,1,USD
MAT-00031,2,1000,12.79,13.14,1,USD
MAT-00031,3,1000,405.33,421.76,1,USD
MAT-00031,4,1000,388.51,370.79,1,USD
MAT-00031,5,1000,99.51,97.92,1,USD
MAT-00032,1,1000,344.69,356.6,1,USD
MAT-00032,2,1000,122.08,121.4,1,USD
MAT-00032,3,1000,353.38,367.93,1,USD
MAT-00032,4,1000,59.75,57.59,1,USD
MAT-00032,5,1000,372.77,389.42,1,USD
MAT-00033,1,1000,285.76,283.99,1,USD
MAT-00033,2,1000,189.67,193.44,1,USD
MAT-00033,3,1000,20.06,20.11,1,USD
MAT-00033,4,1000,349.97,354.69,1,USD
MAT-00033,5,1000,62.1,61.94,1,USD
MAT-00034,1,1000,146.66,147.5,1,USD
MAT-00034,2,1000,216.91,207.48,1,USD
MAT-00034,3,1000,138.76,144.99,1,USD
MAT-00034,4,1000,185.24,183.41,1,USD
MAT-00034,5,1000,460.44,479.16,1,USD
MAT-00035,1,1000,439.01,422.37,1,USD
MAT-00035,2,1000,89.38,90.01,1,USD
MAT-00035,3,1000,335.67,333.86,1,USD
MAT-00035,4,1000,498.3,491.99,1,USD
MAT-00035,5,1000,138.87,132.85,1,USD
MAT-00036,1,1000,397.1,384.61,1,USD
MAT-00036,2,1000,212.5,213.77,1,USD
MAT-00036,3,1000,123.8,119.43,1,USD
MAT-00036,4,1000,75.28,76.8,1,USD
MAT-00036,5,1000,15.48,14.8,1,USD
MAT-00037,1,1000,396.16,380.82,1,USD
MAT-00037,2,1000,336.3,339.18,1,USD
MAT-00037,3,1000,14.34,14.89,1,USD
MAT-00037,4,1000,77.16,80.41,1,USD
MAT-00037,5,1000,431.69,444.69,1,USD
MAT-00038,1,1000,102.45,102.19,1,USD
MAT-00038,2,1000,244.58,234.77,1,USD
MAT-00038,3,1000,200.05,202.72,1,USD
MAT-00038,4,1000,275.29,283.66,1,USD
MAT-00038,5,1000,81.6,78.56,1,USD
MAT-00039,1,1000,259.84,269.23,1,USD
MAT-00039,2,1000,43.32,43.38,1,USD
MAT-00039,3,1000,493.81,497.08,1,USD
MAT-00039,4,1000,131.06,134.38,1,USD
MAT-00039,5,1000,421.49,415.66,1,USD
MAT-00040,1,1000,120.42,117.56,1,USD
MAT-00040,2,1000,39.24,38.97,1,USD
MAT-00040,3,1000,436.63,448.88,1,USD
MAT-00040,4,1000,23.56,23.96,1,USD
MAT-00040,5,1000,466.08,460.99,1,USD
MAT-00041,1,1000,307.15,318.42,1,USD
MAT-00041,2,1000,376.82,362.78,1,USD
MAT-00041,3,1000,311.3,320.34,1,USD
MAT-00041,4,1000,445.48,451.99,1,USD
MAT-00041,5,1000,380.16,367.13,1,USD
MAT-00042,1,1000,303.5,297.05,1,USD
MAT-00042,2,1000,388.82,386.2,1,USD
MAT-00042,3,1000,25.15,24.06,1,USD
MAT-00042,4,1000,51.57,53.59,1,USD
MAT-00042,5,1000,81.33,82.48,1,USD
MAT-00043,1,1000,191.07,189.03,1,USD
MAT-00043,2,1000,237.61,244.9,1,USD
MAT-00043,3,1000,459.38,450.35,1,USD
MAT-00043,4,1000,272.29,267.58,1,USD
MAT-00043,5,1000,160.99,168.21,1,USD
MAT-00044,1,1000,260.61,257.64,1,USD
MAT-00044,2,1000,436.87,445.1,1,USD
MAT-00044,3,1000,350.67,365.52,1,USD
MAT-00044,4,1000,306.55,311.49,1,USD
