plant_id,material_id,movement_type,quantity,amount,document_date,batch_number,storage_location,fiscal_period
5,MAT-00414,101,112,24361.12,02-01-2023,BATCH-20230102,A001,1
4,MAT-00152,101,106,28632.72,02-01-2023,BATCH-20230102,B001,1
1,MAT-00680,101,214,72017.42,02-01-2023,BATCH-20230102,B001,1
4,MAT-00503,101,340,128999.40,02-01-2023,BATCH-20230102,A001,1
3,MAT-01389,101,94,40188.76,02-01-2023,,WH02,1
5,MAT-00848,101,85,6132.75,02-01-2023,BATCH-20230102,C001,1
5,MAT-00067,101,235,61450.15,02-01-2023,BATCH-20230102,C001,1
3,MAT-00533,101,418,64848.52,02-01-2023,,C001,1
2,MAT-00139,101,416,55548.48,02-01-2023,BATCH-20230102,WH02,1
4,MAT-01210,101,387,62337.96,02-01-2023,BATCH-20230102,A001,1
1,MAT-01391,101,322,90089.16,02-01-2023,BATCH-20230102,WH01,1
4,MAT-01173,101,151,18533.74,02-01-2023,BATCH-20230102,WH02,1
2,MAT-00796,101,365,136210.70,02-01-2023,BATCH-20230102,WH01,1
5,MAT-01064,101,321,6480.99,02-01-2023,BATCH-20230102,WH02,1
5,MAT-01289,101,140,56693.00,02-01-2023,BATCH-20230102,WH02,1
5,MAT-00481,101,377,60885.50,02-01-2023,BATCH-20230102,,1
2,MAT-00828,101,457,225908.81,02-01-2023,,A001,1
4,MAT-00987,261,-11,-4421.34,03-01-2023,,B001,1
2,MAT-01320,261,-48,-20304.00,05-01-2023,,WH01,1
4,MAT-01070,261,-19,-1014.22,03-01-2023,,C001,1
3,MAT-00371,261,-1,-25.01,05-01-2023,,B001,1
2,MAT-00623,261,-15,-1514.40,03-01-2023,,C001,1
2,MAT-01385,261,-33,-6354.48,03-01-2023,,WH01,1
2,MAT-01352,261,-18,-4333.32,04-01-2023,,A001,1
3,MAT-01007,261,-15,-6754.05,05-01-2023,,WH01,1
3,MAT-00224,261,-1,-318.30,03-01-2023,,C001,1
5,MAT-01392,261,-35,-4181.45,04-01-2023,,A001,1
2,MAT-00377,261,-10,-4575.70,03-01-2023,,A001,1
5,MAT-00035,261,-4,-555.48,05-01-2023,,WH01,1
3,MAT-00304,261,-36,-10641.60,04-01-2023,,A001,1
4,MAT-01285,261,-38,-12809.80,05-01-2023,,WH02,1
2,MAT-01348,261,-5,-485.65,05-01-2023,,WH02,1
4,MAT-00207,261,-1,-199.72,04-01-2023,,A001,1
2,MAT-00835,261,-17,-7364.57,03-01-2023,,C001,1
1,MAT-00254,261,-33,-14092.65,03-01-2023,,B001,1
2,MAT-01182,261,-24,-11424.72,03-01-2023,,B001,1
5,MAT-01184,261,-41,-784.74,05-01-2023,,A001,1
2,MAT-00650,261,-3,-1039.32,04-01-2023,,WH02,1
1,MAT-00804,261,-6,-988.32,05-01-2023,,C001,1
5,MAT-00982,261,-33,-10118.46,05-01-2023,,A001,1
1,MAT-01458,261,-42,-477.96,05-01-2023,,A001,1
5,MAT-01170,261,-26,-2467.40,04-01-2023,,WH01,1
2,MAT-00045,261,-43,-7644.54,04-01-2023,,C001,1
4,MAT-00107,261,-6,-1535.16,04-01-2023,,WH02,1
5,MAT-00281,261,-2,-843.20,03-01-2023,,A001,1
1,MAT-01262,261,-36,-3159.72,04-01-2023,,B001,1
4,MAT-00754,261,-10,-2660.50,04-01-2023,,B001,1
3,MAT-00776,261,-23,-6063.03,05-01-2023,,A001,1
