sales_order,order_type,sales_org,distribution_channel,division,order_date,customer_id,fiscal_period
OR202301020000003455,OR,1000,10,0,02-01-2023,CUST-03101,1
OR202301020000006426,OR,1000,10,0,02-01-2023,CUST-02147,1
OR202301020000007603,OR,1000,10,0,02-01-2023,CUST-04972,1
OR202301020000004879,OR,1000,10,0,02-01-2023,CUST-01563,1
OR202301020000002985,OR,1000,10,0,02-01-2023,CUST-01802,1
OR202301020000005577,OR,1000,10,0,02-01-2023,CUST-00993,1
OR202301020000005638,OR,1000,10,0,02-01-2023,CUST-01529,1
OR202301020000005805,OR,1000,10,0,02-01-2023,CUST-02022,1
OR202301020000004424,OR,1000,10,0,02-01-2023,CUST-00934,1
OR202301020000007115,OR,1000,10,0,02-01-2023,CUST-01035,1
OR202301020000007973,OR,1000,10,0,02-01-2023,CUST-03643,1
OR202301020000004740,OR,1000,10,0,02-01-2023,CUST-00179,1
OR202301020000008158,OR,1000,10,0,02-01-2023,CUST-00949,1
OR202301020000009999,OR,1000,10,0,02-01-2023,CUST-00533,1
OR202301020000005878,OR,1000,10,0,02-01-2023,CUST-01708,1
OR202301020000004430,OR,1000,10,0,02-01-2023,CUST-00966,1
OR202301020000007555,OR,1000,10,0,02-01-2023,CUST-02120,1
OR202301020000005113,OR,1000,10,0,02-01-2023,CUST-02431,1
OR202301020000003152,OR,1000,10,0,02-01-2023,CUST-01506,1
OR202301020000001219,OR,1000,10,0,02-01-2023,CUST-02756,1
OR202301020000005681,OR,1000,10,0,02-01-2023,CUST-00752,1
OR202301020000007818,OR,1000,10,0,02-01-2023,CUST-03222,1
OR202301020000007662,OR,1000,10,0,02-01-2023,CUST-01265,1
OR202301020000008274,OR,1000,10,0,02-01-2023,CUST-03665,1
OR202301020000009972,OR,1000,10,0,02-01-2023,CUST-00818,1
OR202301030000002419,OR,1000,10,0,03-01-2023,CUST-04911,1
OR202301030000004296,OR,1000,10,0,03-01-2023,CUST-00030,1
OR202301030000004530,OR,1000,10,0,03-01-2023,CUST-04412,1
OR202301030000004510,OR,1000,10,0,03-01-2023,CUST-00386,1
OR202301030000008330,OR,1000,10,0,03-01-2023,CUST-00325,1
OR202301030000008019,OR,1000,10,0,03-01-2023,CUST-01258,1
OR202301030000006363,OR,1000,10,0,03-01-2023,CUST-01911,1
OR202301030000007318,OR,1000,10,0,03-01-2023,CUST-00334,1
OR202301030000007538,OR,1000,10,0,03-01-2023,CUST-04072,1
OR202301030000003096,OR,1000,10,0,03-01-2023,CUST-00360,1
OR202301030000004179,OR,1000,10,0,03-01-2023,CUST-02166,1
OR202301030000006522,OR,1000,10,0,03-01-2023,CUST-02854,1
OR202301030000009373,OR,1000,10,0,03-01-2023,CUST-01904,1
OR202301030000007022,OR,1000,10,0,03-01-2023,CUST-01804,1
OR202301030000002303,OR,1000,10,0,03-01-2023,CUST-03173,1
OR202301030000009301,OR,1000,10,0,03-01-2023,CUST-04695,1
OR202301030000009161,OR,1000,10,0,03-01-2023,CUST-00513,1
OR202301030000009893,OR,1000,10,0,03-01-2023,CUST-03396,1
OR202301030000009309,OR,1000,10,0,03-01-2023,CUST-02445,1
OR202301030000001184,OR,1000,10,0,03-01-2023,CUST-01347,1
