sales_order,sales_order_item,material_id,order_quantity,plant_id,net_value,currency
OR202301020000003455,1,MAT-00987,19,4,9164.232,USD
OR202301020000003455,2,MAT-01320,48,2,24364.8,USD
OR202301020000003455,3,MAT-01070,34,4,2177.904,USD
OR202301020000006426,1,MAT-00371,1,3,30.012,USD
OR202301020000006426,2,MAT-00623,15,2,1817.28,USD
OR202301020000006426,3,MAT-01385,33,2,7625.376,USD
OR202301020000006426,4,MAT-01352,18,2,5199.984,USD
OR202301020000007603,1,MAT-01007,15,3,8104.86,USD
OR202301020000007603,2,MAT-00224,12,3,4583.52,USD
OR202301020000007603,3,MAT-01392,35,5,5017.74,USD
OR202301020000007603,4,MAT-00377,10,2,5490.84,USD
OR202301020000004879,1,MAT-00035,4,5,666.576,USD
OR202301020000004879,2,MAT-00304,37,3,13124.64,USD
OR202301020000004879,3,MAT-01285,38,4,15371.76,USD
OR202301020000004879,4,MAT-01348,9,2,1049.004,USD
OR202301020000002985,1,MAT-00207,1,4,239.664,USD
OR202301020000005577,1,MAT-00835,17,2,8837.484,USD
OR202301020000005577,2,MAT-00254,33,1,16911.18,USD
OR202301020000005577,3,MAT-01182,24,2,13709.664,USD
OR202301020000005577,4,MAT-00324,47,2,9348.864,USD
OR202301020000005577,5,MAT-01184,41,5,941.688,USD
OR202301020000005638,1,MAT-00650,3,2,1247.184,USD
OR202301020000005638,2,MAT-00804,6,1,1185.984,USD
OR202301020000005638,3,MAT-01398,10,2,3525.24,USD
OR202301020000005638,4,MAT-00982,33,5,12142.152,USD
OR202301020000005805,1,MAT-01458,42,1,573.552,USD
OR202301020000005805,2,MAT-01170,30,5,3416.4,USD
OR202301020000005805,3,MAT-00045,43,2,9173.448,USD
OR202301020000004424,1,MAT-00107,6,4,1842.192,USD
OR202301020000004424,2,MAT-00281,2,5,1011.84,USD
OR202301020000004424,3,MAT-01262,36,1,3791.664,USD
OR202301020000004424,4,MAT-00754,10,4,3192.6,USD
OR202301020000007115,1,MAT-00776,23,3,7275.636,USD
OR202301020000007973,1,MAT-00951,40,2,12242.4,USD
OR202301020000004740,1,MAT-00923,9,5,943.92,USD
OR202301020000004740,2,MAT-01291,38,3,21113.712,USD
OR202301020000004740,3,MAT-00812,36,1,1424.736,USD
OR202301020000008158,1,MAT-00125,46,2,1960.152,USD
OR202301020000008158,2,MAT-00592,3,3,1498.464,USD
OR202301020000008158,3,MAT-01065,43,4,14661.624,USD
OR202301020000008158,4,MAT-00340,22,2,6952.704,USD
OR202301020000008158,5,MAT-00835,1,1,275.22,USD
OR202301020000009999,1,MAT-00073,22,4,4170.408,USD
OR202301020000009999,2,MAT-00991,10,1,5499.96,USD
OR202301020000009999,3,MAT-00643,16,1,1096.32,USD
OR202301020000005878,1,MAT-01305,9,5,1685.232,USD
OR202301020000004430,1,MAT-00103,33,2,19676.448,USD
OR202301020000007555,1,MAT-01073,1,5,266.4,USD
OR202301020000007555,2,MAT-00698,35,1,4049.64,USD
OR202301020000007555,3,MAT-01196,31,1,11568.456,USD
OR202301020000005113,1,MAT-01500,9,5,231.66,USD
OR202301020000005113,2,MAT-00749,18,3,5467.824,USD
OR202301020000005113,3,MAT-00928,45,1,2995.38,USD
OR202301020000003152,1,MAT-00289,40,2,2005.92,USD
OR202301020000003152,2,MAT-00319,29,3,9464.208,USD
OR202301020000003152,3,MAT-00008,18,2,10389.384,USD
OR202301020000003152,4,MAT-00623,29,5,13025.988,USD
OR202301020000003152,5,MAT-00404,35,4,7351.68,USD
OR202301020000001219,1,MAT-00713,7,2,4106.256,USD
OR202301020000001219,2,MAT-00327,16,4,9103.104,USD
OR202301020000001219,3,MAT-00757,24,4,2643.84,USD
OR202301020000001219,4,MAT-01391,13,3,3658.824,USD
OR202301020000001219,5,MAT-00027,30,3,12983.4,USD
OR202301020000005681,1,MAT-01491,29,4,4915.152,USD
OR202301020000005681,2,MAT-01414,33,2,1587.96,USD
OR202301020000005681,3,MAT-00537,45,4,682.56,USD
OR202301020000007818,1,MAT-00824,20,4,3158.88,USD
OR202301020000007818,2,MAT-01042,26,3,6203.808,USD
OR202301020000007818,3,MAT-00838,30,5,12609,USD
OR202301020000007662,1,MAT-00581,13,3,7583.472,USD
OR202301020000007662,2,MAT-00852,12,3,513.504,USD
OR202301020000008274,1,MAT-01024,48,1,9595.584,USD
OR202301020000008274,2,MAT-00109,31,1,10593.444,USD
OR202301020000008274,3,MAT-00440,19,3,1107.168,USD
OR202301020000009972,1,MAT-00634,40,3,3487.2,USD
OR202301020000009972,2,MAT-00224,33,4,3485.592,USD
OR202301020000009972,3,MAT-01072,43,1,8179.632,USD
OR202301020000009972,4,MAT-00879,2,3,222.264,USD
OR202301030000002419,1,MAT-01113,44,2,24737.856,USD
OR202301030000002419,2,MAT-01266,36,3,19438.704,USD
OR202301030000002419,3,MAT-00178,5,5,643.92,USD
OR202301030000002419,4,MAT-00735,34,4,4077.96,USD
OR202301030000002419,5,MAT-00201,25,3,7947,USD
OR202301030000004296,1,MAT-00672,19,2,796.86,USD
OR202301030000004296,2,MAT-00596,33,1,6204.528,USD
OR202301030000004296,3,MAT-00537,44,4,667.392,USD
OR202301030000004296,4,MAT-00347,20,1,8623.92,USD
OR202301030000004530,1,MAT-00292,30,5,13057.2,USD
OR202301030000004530,2,MAT-01406,18,3,7665.84,USD
OR202301030000004530,3,MAT-00897,13,3,3833.076,USD
OR202301030000004530,4,MAT-00271,26,3,6001.944,USD
OR202301030000004530,5,MAT-00350,19,5,2792.544,USD
OR202301030000004510,1,MAT-00284,34,1,8881.752,USD
OR202301030000004510,2,MAT-00469,6,4,1184.256,USD
OR202301030000004510,3,MAT-01147,23,2,9536.076,USD
OR202301030000008330,1,MAT-00675,44,1,24989.712,USD
OR202301030000008019,1,MAT-00412,47,2,15515.64,USD
OR202301030000008019,2,MAT-00491,24,2,11161.728,USD
OR202301030000008019,3,MAT-00661,32,1,9803.136,USD
OR202301030000008019,4,MAT-00006,25,4,13836,USD
OR202301030000008019,5,MAT-00920,3,5,613.512,USD
OR202301030000006363,1,MAT-00964,26,1,13706.784,USD
OR202301030000007318,1,MAT-00894,30,5,10990.44,USD
OR202301030000007318,2,MAT-00569,24,2,5853.6,USD
OR202301030000007318,3,MAT-01436,44,4,1071.312,USD
OR202301030000007318,4,MAT-00504,25,2,3736.5,USD
OR202301030000007318,5,MAT-01404,11,2,4386.492,USD
OR202301030000007538,1,MAT-01032,19,4,11146.464,USD
OR202301030000007538,2,MAT-00087,13,5,6386.328,USD
OR202301030000003096,1,MAT-01040,47,2,3084.516,USD
OR202301030000003096,2,MAT-00598,36,2,21079.872,USD
OR202301030000003096,3,MAT-01474,36,5,15447.024,USD
OR202301030000003096,4,MAT-01297,25,2,5785.8,USD
OR202301030000004179,1,MAT-00989,28,4,2738.4,USD
OR202301030000004179,2,MAT-00054,48,1,7081.344,USD
OR202301030000004179,3,MAT-01012,19,4,6340.224,USD
OR202301030000004179,4,MAT-01075,34,1,20373.888,USD
OR202301030000006522,1,MAT-01143,16,2,4706.112,USD
