preceding_doc,preceding_item,subsequent_doc,subsequent_item,document_category,quantity,date
OR202301020000003455,1,DL202301020000007736,1,C,19,02-01-2023
DL202301020000007736,1,BODL202301020000007736,1,N,8,03-01-2023
OR202301020000003455,2,DL202301020000006987,2,C,48,02-01-2023
OR202301020000003455,3,DL202301020000009205,3,C,34,02-01-2023
DL202301020000009205,3,BODL202301020000009205,3,N,15,03-01-2023
OR202301020000006426,1,DL202301020000009735,1,C,1,02-01-2023
OR202301020000006426,2,DL202301020000002541,2,C,15,02-01-2023
OR202301020000006426,3,DL202301020000001985,3,C,33,02-01-2023
OR202301020000006426,4,DL202301020000009772,4,C,18,02-01-2023
OR202301020000007603,1,DL202301020000006515,1,C,15,02-01-2023
OR202301020000007603,2,DL202301020000008942,2,C,12,02-01-2023
DL202301020000008942,2,BODL202301020000008942,2,N,11,03-01-2023
OR202301020000007603,3,DL202301020000001781,3,C,35,02-01-2023
OR202301020000007603,4,DL202301020000001581,4,C,10,02-01-2023
OR202301020000004879,1,DL202301020000006059,1,C,4,02-01-2023
OR202301020000004879,2,DL202301020000006932,2,C,37,02-01-2023
DL202301020000006932,2,BODL202301020000006932,2,N,1,03-01-2023
OR202301020000004879,3,DL202301020000001120,3,C,38,02-01-2023
OR202301020000004879,4,DL202301020000005380,4,C,9,02-01-2023
DL202301020000005380,4,BODL202301020000005380,4,N,4,03-01-2023
OR202301020000002985,1,DL202301020000006206,1,C,1,02-01-2023
OR202301020000005577,1,DL202301020000007260,1,C,17,02-01-2023
OR202301020000005577,2,DL202301020000003787,2,C,33,02-01-2023
OR202301020000005577,3,DL202301020000001417,3,C,24,02-01-2023
OR202301020000005577,4,DL202301020000002983,4,C,47,02-01-2023
DL202301020000002983,4,BODL202301020000002983,4,N,47,03-01-2023
OR202301020000005577,5,DL202301020000009851,5,C,41,02-01-2023
OR202301020000005638,1,DL202301020000002636,1,C,3,02-01-2023
OR202301020000005638,2,DL202301020000002382,2,C,6,02-01-2023
OR202301020000005638,3,DL202301020000001001,3,C,10,02-01-2023
DL202301020000001001,3,BODL202301020000001001,3,N,10,03-01-2023
OR202301020000005638,4,DL202301020000003934,4,C,33,02-01-2023
OR202301020000005805,1,DL202301020000005991,1,C,42,02-01-2023
OR202301020000005805,2,DL202301020000009803,2,C,30,02-01-2023
DL202301020000009803,2,BODL202301020000009803,2,N,4,03-01-2023
OR202301020000005805,3,DL202301020000002680,3,C,43,02-01-2023
OR202301020000004424,1,DL202301020000002797,1,C,6,02-01-2023
OR202301020000004424,2,DL202301020000006700,2,C,2,02-01-2023
OR202301020000004424,3,DL202301020000003890,3,C,36,02-01-2023
OR202301020000004424,4,DL202301020000004351,4,C,10,02-01-2023
OR202301020000007115,1,DL202301020000008607,1,C,23,02-01-2023
OR202301020000007973,1,DL202301020000005440,1,C,40,02-01-2023
OR202301020000004740,1,DL202301020000004311,1,C,9,02-01-2023
OR202301020000004740,2,DL202301020000001712,2,C,38,02-01-2023
OR202301020000004740,3,DL202301020000009979,3,C,36,02-01-2023
OR202301020000008158,1,DL202301020000003235,1,C,46,02-01-2023
OR202301020000008158,2,DL202301020000003318,2,C,3,02-01-2023
OR202301020000008158,3,DL202301020000001995,3,C,43,02-01-2023
OR202301020000008158,4,DL202301020000005290,4,C,22,02-01-2023
OR202301020000008158,5,DL202301020000009903,5,C,1,02-01-2023
OR202301020000009999,1,DL202301020000008119,1,C,22,02-01-2023
OR202301020000009999,2,DL202301020000003789,2,C,10,02-01-2023
OR202301020000009999,3,DL202301020000006887,3,C,16,02-01-2023
OR202301020000005878,1,DL202301020000008433,1,C,9,02-01-2023
OR202301020000004430,1,DL202301020000003502,1,C,33,02-01-2023
OR202301020000007555,1,DL202301020000005230,1,C,1,02-01-2023
DL202301020000005230,1,BODL202301020000005230,1,N,1,03-01-2023
OR202301020000007555,2,DL202301020000006840,2,C,35,02-01-2023
DL202301020000006840,2,BODL202301020000006840,2,N,7,03-01-2023
OR202301020000007555,3,DL202301020000004992,3,C,31,02-01-2023
OR202301020000005113,1,DL202301020000001286,1,C,9,02-01-2023
OR202301020000005113,2,DL202301020000003991,2,C,18,02-01-2023
DL202301020000003991,2,BODL202301020000003991,2,N,15,03-01-2023
OR202301020000005113,3,DL202301020000005667,3,C,45,02-01-2023
OR202301020000003152,1,DL202301020000006489,1,C,40,02-01-2023
OR202301020000003152,2,DL202301020000007722,2,C,29,02-01-2023
DL202301020000007722,2,BODL202301020000007722,2,N,29,03-01-2023
OR202301020000003152,3,DL202301020000006255,3,C,18,02-01-2023
OR202301020000003152,4,DL202301020000007223,4,C,29,02-01-2023
OR202301020000003152,5,DL202301020000003760,5,C,35,02-01-2023
OR202301020000001219,1,DL202301020000002969,1,C,7,02-01-2023
OR202301020000001219,2,DL202301020000002368,2,C,16,02-01-2023
DL202301020000002368,2,BODL202301020000002368,2,N,16,03-01-2023
OR202301020000001219,3,DL202301020000007979,3,C,24,02-01-2023
